Churchill Downs Price to Free Cash Flow Ratio Historical Data,Churchill Downs Price to Free Cash Flow Ratio Historical Data,Churchill Downs Price to Free Cash Flow Ratio Historical Data,Churchill Downs Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,112.01,,37.19
2024-12-31,133.54,$3.01,44.33
2024-09-30,134.81,$2.08,64.67
2024-06-30,139.19,$0.33,425.66
2024-03-31,123.39,$-0.67,0.0
2023-12-31,134.53,$1.64,82.23
2023-09-30,115.32,$1.57,73.43
2023-06-30,138.31,$2.09,66.09
2023-03-31,127.73,$7.37,17.33
2022-12-31,105.06,$4.76,22.08
2022-09-30,91.21,$6.10,14.95
2022-06-30,94.87,$7.20,13.18
2022-03-31,109.85,$4.56,24.11
2021-12-31,119.32,$4.69,25.44
2021-09-30,118.57,$4.08,29.06
2021-06-30,97.91,$3.43,28.54
2021-03-31,112.32,$0.09,1302.97
2020-12-31,96.2,$-1.13,0.0
2020-09-30,80.63,$-0.98,0.0
2020-06-30,65.54,$-0.61,0.0
2020-03-31,50.67,$1.41,36.03
2019-12-31,67.53,$1.99,33.99
2019-09-30,60.49,$2.54,23.82
2019-06-30,56.38,$1.39,40.48
2019-03-31,44.23,$0.85,52.05
2018-12-31,39.84,$0.58,68.5
2018-09-30,45.08,$0.34,133.86
2018-06-30,48.14,$1.09,44.27
2018-03-31,39.62,$1.03,38.4
2017-12-31,37.78,$1.06,35.78
2017-09-30,33.26,$1.42,23.46
2017-06-30,29.57,$1.78,16.64
2017-03-31,25.62,$1.79,14.31
2016-12-31,24.27,$2.01,12.09
2016-09-30,23.41,$1.72,13.59
2016-06-30,20.21,$1.78,11.37
2016-03-31,23.65,$1.82,13.01
2015-12-31,22.63,$2.09,10.8
2015-09-30,21.23,$2.00,10.63
2015-06-30,19.84,$1.70,11.69
2015-03-31,18.24,$1.30,14.04
2014-12-31,15.12,$0.83,18.12
2014-09-30,15.31,$0.75,20.48
2014-06-30,14.15,$0.93,15.15
2014-03-31,14.34,$0.89,16.12
2013-12-31,14.08,$0.89,15.76
2013-09-30,13.45,$1.05,12.87
2013-06-30,12.26,$0.94,13.03
2013-03-31,10.89,$0.86,12.71
2012-12-31,10.33,$0.99,10.45
2012-09-30,9.64,$1.07,9.05
2012-06-30,9.03,$1.30,6.96
2012-03-31,8.59,$1.34,6.39
2011-12-31,8.01,$1.46,5.47
2011-09-30,5.93,$1.12,5.31
2011-06-30,6.85,$0.84,8.16
2011-03-31,6.3,$0.51,12.35
2010-12-31,6.59,$-0.02,0.0
2010-09-30,5.36,$-0.52,0.0
2010-06-30,4.93,$-0.71,0.0
2010-03-31,5.63,$-0.39,0.0
2009-12-31,5.61,$-0.13,0.0
