Texas Roadhouse Price to Free Cash Flow Ratio Historical Data,Texas Roadhouse Price to Free Cash Flow Ratio Historical Data,Texas Roadhouse Price to Free Cash Flow Ratio Historical Data,Texas Roadhouse Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,170.75,,27.46
2024-12-31,180.43,$6.22,29.01
2024-09-30,176.04,$5.36,32.83
2024-06-30,170.55,$4.87,34.99
2024-03-31,152.88,$4.19,36.51
2023-12-31,120.49,$3.52,34.23
2023-09-30,94.27,$3.00,31.42
2023-06-30,109.56,$3.39,32.28
2023-03-31,104.92,$3.95,26.56
2022-12-31,87.84,$4.13,21.25
2022-09-30,83.87,$4.29,19.54
2022-06-30,69.99,$3.67,19.06
2022-03-31,79.6,$3.92,20.32
2021-12-31,84.36,$3.90,21.6
2021-09-30,85.9,$3.77,22.77
2021-06-30,90.1,$4.47,20.18
2021-03-31,89.49,$3.49,25.66
2020-12-31,72.91,$1.14,63.76
2020-09-30,56.7,$1.32,43.06
2020-06-30,49.04,$0.63,77.81
2020-03-31,38.52,$0.98,39.18
2019-12-31,52.16,$2.27,22.97
2019-09-30,48.38,$2.54,19.07
2019-06-30,49.17,$2.75,17.87
2019-03-31,56.66,$2.70,20.98
2018-12-31,54.39,$2.74,19.88
2018-09-30,62.87,$2.34,26.83
2018-06-30,59.24,$2.35,25.24
2018-03-31,52.05,$1.92,27.07
2017-12-31,47.25,$1.74,27.1
2017-09-30,43.9,$1.64,26.83
2017-06-30,45.32,$1.43,31.67
2017-03-31,39.44,$1.68,23.45
2016-12-31,42.51,$1.30,32.71
2016-09-30,34.26,$1.34,25.66
2016-06-30,39.86,$1.07,37.28
2016-03-31,37.93,$0.86,43.92
2015-12-31,31.0,$0.77,40.06
2015-09-30,32.08,$0.64,50.11
2015-06-30,32.13,$0.88,36.36
2015-03-31,31.13,$0.98,31.76
2014-12-31,28.71,$0.96,30.05
2014-09-30,23.57,$0.90,26.28
2014-06-30,21.89,$0.82,26.85
2014-03-31,21.83,$0.85,25.56
2013-12-31,23.14,$0.87,26.47
2013-09-30,21.79,$0.87,25.15
2013-06-30,20.63,$1.10,18.75
2013-03-31,16.57,$1.00,16.65
2012-12-31,13.7,$0.87,15.75
2012-09-30,13.79,$0.77,17.86
2012-06-30,14.76,$0.25,58.45
2012-03-31,13.28,$0.73,18.09
2011-12-31,11.83,$0.79,15.01
2011-09-30,10.44,$0.85,12.27
2011-06-30,13.76,$1.39,9.91
2011-03-31,13.27,$1.09,12.14
2010-12-31,13.35,$1.03,12.93
2010-09-30,10.92,$1.10,9.96
2010-06-30,9.81,$1.09,9.01
2010-03-31,10.8,$1.12,9.65
2009-12-31,8.73,$1.01,8.65
