Regis Price to Free Cash Flow Ratio Historical Data,Regis Price to Free Cash Flow Ratio Historical Data,Regis Price to Free Cash Flow Ratio Historical Data,Regis Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,18.21,,3.03
2024-12-31,23.72,$6.01,3.95
2024-09-30,27.51,$0.92,29.99
2024-06-30,23.0,$-0.18,0.0
2024-03-31,7.5,$-2.16,0.0
2023-12-31,9.45,$-3.31,0.0
2023-09-30,14.06,$-2.17,0.0
2023-06-30,22.2,$-1.67,0.0
2023-03-31,22.2,$0.76,29.05
2022-12-31,24.4,$-3.69,0.0
2022-09-30,20.2,$-7.48,0.0
2022-06-30,21.6,$-14.21,0.0
2022-03-31,42.4,$-28.61,0.0
2021-12-31,34.8,$-32.54,0.0
2021-09-30,69.6,$-48.61,0.0
2021-06-30,187.2,$-57.25,0.0
2021-03-31,251.2,$-65.99,0.0
2020-12-31,183.8,$-72.77,0.0
2020-09-30,122.8,$-44.88,0.0
2020-06-30,163.6,$-17.97,0.0
2020-03-31,118.2,$18.82,6.28
2019-12-31,357.4,$41.51,8.61
2019-09-30,404.4,$39.77,10.17
2019-06-30,332.0,$21.83,15.21
2019-03-31,393.4,$14.32,27.48
2018-12-31,339.0,$1.86,182.33
2018-09-30,408.6,$-15.63,0.0
2018-06-30,330.8,$-7.05,0.0
2018-03-31,302.6,$-13.76,0.0
2017-12-31,307.2,$-2.96,0.0
2017-09-30,285.4,$12.30,23.21
2017-06-30,205.4,$11.54,17.8
2017-03-31,234.4,$12.55,18.68
2016-12-31,290.4,$15.75,18.44
2016-09-30,251.0,$9.81,25.57
2016-06-30,249.0,$10.88,22.88
2016-03-31,303.8,$13.18,23.04
2015-12-31,283.0,$14.83,19.08
2015-09-30,262.0,$21.78,12.03
2015-06-30,315.2,$21.63,14.57
2015-03-31,327.2,$22.85,14.32
2014-12-31,335.2,$20.88,16.05
2014-09-30,319.2,$23.89,13.36
2014-06-30,281.6,$23.84,11.81
2014-03-31,274.0,$58.99,4.64
2013-12-31,290.2,$48.35,6.0
2013-09-30,292.38,$49.31,5.93
2013-06-30,325.84,$44.98,7.24
2013-03-31,359.82,$13.94,25.8
2012-12-31,333.59,$23.91,13.95
2012-09-30,361.07,$22.21,16.26
2012-06-30,351.65,$23.95,14.68
2012-03-31,359.66,$29.15,12.34
2011-12-31,321.86,$40.31,7.98
2011-09-30,273.07,$40.61,6.72
2011-06-30,295.63,$55.85,5.29
2011-03-31,341.06,$39.62,8.61
2010-12-31,318.04,$45.79,6.95
2010-09-30,365.83,$44.91,8.15
2010-06-30,297.09,$40.29,7.37
2010-03-31,355.68,$67.44,5.27
2009-12-31,295.7,$68.94,4.29
