Destination XL Price to Free Cash Flow Ratio Historical Data,Destination XL Price to Free Cash Flow Ratio Historical Data,Destination XL Price to Free Cash Flow Ratio Historical Data,Destination XL Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.85,,86.21
2024-10-31,2.68,$0.02,125.0
2024-07-31,3.73,$0.22,16.7
2024-04-30,3.21,$0.48,6.74
2024-01-31,4.27,$0.50,8.5
2023-10-31,4.16,$0.77,5.37
2023-07-31,5.16,$0.79,6.56
2023-04-30,4.39,$0.70,6.24
2023-01-31,7.13,$0.75,9.48
2022-10-31,6.68,$0.48,14.03
2022-07-31,4.14,$0.73,5.67
2022-04-30,4.95,$0.88,5.61
2022-01-31,4.44,$1.03,4.3
2021-10-31,7.11,$1.01,7.03
2021-07-31,0.21,$0.71,0.3
2021-04-30,0.21,$0.37,0.58
2021-01-31,0.21,$-0.11,0.0
2020-10-31,0.26,$0.33,0.8
2020-07-31,0.34,$-0.04,0.0
2020-04-30,0.39,$0.09,4.15
2020-01-31,1.11,$0.05,23.08
2019-10-31,1.45,$-0.20,0.0
2019-07-31,1.76,$-0.04,0.0
2019-04-30,2.11,$-0.14,0.0
2019-01-31,2.58,$0.08,32.29
2018-10-31,3.06,$0.22,14.06
2018-07-31,2.03,$0.15,13.66
2018-04-30,1.7,$0.22,7.9
2018-01-31,2.6,$0.17,15.14
2017-10-31,2.0,$0.12,16.43
2017-07-31,2.0,$0.02,94.79
2017-04-30,2.55,$0.11,23.85
2017-01-31,3.55,$0.12,30.74
2016-10-31,4.05,$0.03,116.05
2016-07-31,5.16,$0.01,0.0
2016-04-30,5.37,$-0.17,0.0
2016-01-31,4.3,$-0.31,0.0
2015-10-31,5.84,$-0.23,0.0
2015-07-31,4.89,$-0.32,0.0
2015-04-30,4.87,$-0.40,0.0
2015-01-31,5.08,$-0.56,0.0
2014-10-31,5.24,$-0.65,0.0
2014-07-31,5.35,$-0.73,0.0
2014-04-30,5.4,$-0.84,0.0
2014-01-31,5.38,$-0.60,0.0
2013-10-31,6.95,$-0.68,0.0
2013-07-31,6.45,$-0.35,0.0
2013-04-30,4.98,$-0.24,0.0
2013-01-31,4.59,$-0.05,0.0
2012-10-31,3.86,$-0.17,0.0
2012-07-31,3.8,$-0.18,0.0
2012-04-30,3.14,$-0.01,0.0
2012-01-31,3.16,$0.11,28.39
2011-10-31,4.15,$0.27,15.42
2011-07-31,4.21,$0.29,14.37
2011-04-30,4.22,$0.23,18.21
2011-01-31,4.2,$0.20,20.59
2010-10-31,4.41,$0.46,9.6
2010-07-31,3.46,$0.64,5.37
2010-04-30,4.09,$0.66,6.19
2010-01-31,2.8,$0.59,4.71
2009-10-31,2.51,$0.34,7.37
