Amdocs Price to Free Cash Flow Ratio Historical Data,Amdocs Price to Free Cash Flow Ratio Historical Data,Amdocs Price to Free Cash Flow Ratio Historical Data,Amdocs Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,88.32,,15.96
2024-12-31,85.14,$5.53,15.38
2024-09-30,87.48,$6.03,14.5
2024-06-30,78.49,$6.05,12.97
2024-03-31,89.34,$5.72,15.63
2023-12-31,86.42,$6.90,12.53
2023-09-30,82.67,$6.11,13.53
2023-06-30,96.23,$4.92,19.56
2023-03-31,93.07,$4.72,19.71
2022-12-31,87.7,$3.57,24.56
2022-09-30,76.32,$4.34,17.57
2022-06-30,79.63,$4.29,18.57
2022-03-31,78.21,$4.38,17.85
2021-12-31,70.86,$3.97,17.85
2021-09-30,71.34,$5.59,12.76
2021-06-30,72.55,$5.63,12.89
2021-03-31,65.49,$5.57,11.77
2020-12-31,65.92,$5.42,12.15
2020-09-30,53.1,$3.40,15.63
2020-06-30,55.99,$3.23,17.34
2020-03-31,50.28,$3.46,14.53
2019-12-31,65.65,$4.12,15.94
2019-09-30,59.88,$3.85,15.55
2019-06-30,56.0,$3.51,15.97
2019-03-31,48.58,$3.08,15.8
2018-12-31,52.31,$2.03,25.83
2018-09-30,58.67,$2.29,25.66
2018-06-30,58.63,$2.82,20.8
2018-03-31,58.88,$1.86,31.64
2017-12-31,57.57,$3.36,17.12
2017-09-30,56.36,$3.44,16.4
2017-06-30,56.29,$5.58,10.1
2017-03-31,53.08,$6.42,8.27
2016-12-31,50.51,$5.48,9.22
2016-09-30,50.0,$5.69,8.79
2016-06-30,49.72,$2.46,20.24
2016-03-31,51.86,$4.05,12.81
2015-12-31,46.69,$4.16,11.22
2015-09-30,48.52,$4.20,11.55
2015-06-30,46.43,$5.23,8.88
2015-03-31,46.13,$3.92,11.77
2014-12-31,39.43,$3.86,10.22
2014-09-30,38.65,$3.75,10.32
2014-06-30,38.9,$4.29,9.07
2014-03-31,38.88,$5.73,6.78
2013-12-31,34.4,$5.65,6.09
2013-09-30,30.46,$5.37,5.68
2013-06-30,30.73,$2.71,11.33
2013-03-31,29.93,$2.57,11.66
2012-12-31,27.96,$2.32,12.05
2012-09-30,27.03,$2.31,11.68
2012-06-30,24.26,$1.26,19.19
2012-03-31,25.77,$0.67,38.27
2011-12-31,23.28,$2.32,10.02
2011-09-30,22.13,$2.28,9.7
2011-06-30,24.8,$5.02,4.94
2011-03-31,23.55,$4.03,5.85
2010-12-31,22.42,$2.77,8.1
2010-09-30,23.39,$2.93,7.98
2010-06-30,21.91,$8.12,2.7
2010-03-31,24.57,$7.82,3.14
2009-12-31,23.28,$7.94,2.93
