Motorsport Games Price to Free Cash Flow Ratio Historical Data,Motorsport Games Price to Free Cash Flow Ratio Historical Data,Motorsport Games Price to Free Cash Flow Ratio Historical Data,Motorsport Games Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.22,,0.0
2024-12-31,1.34,$-0.98,0.0
2024-09-30,1.55,$-1.82,0.0
2024-06-30,2.39,$-2.54,0.0
2024-03-31,2.11,$-3.02,0.0
2023-12-31,3.09,$-5.31,0.0
2023-09-30,3.62,$-5.91,0.0
2023-06-30,4.3,$-9.71,0.0
2023-03-31,5.7,$-14.64,0.0
2022-12-31,4.15,$-16.92,0.0
2022-09-30,5.7,$-18.86,0.0
2022-06-30,6.59,$-19.46,0.0
2022-03-31,13.2,$-17.44,0.0
2021-12-31,34.0,$-19.07,0.0
