Equitable Holdings Price to Free Cash Flow Ratio Historical Data,Equitable Holdings Price to Free Cash Flow Ratio Historical Data,Equitable Holdings Price to Free Cash Flow Ratio Historical Data,Equitable Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,52.41,,9.19
2024-12-31,47.17,$5.71,8.27
2024-09-30,41.82,$3.43,12.19
2024-06-30,40.4,$2.39,16.92
2024-03-31,37.58,$0.64,58.63
2023-12-31,32.72,$-0.92,0.0
2023-09-30,27.69,$0.29,94.98
2023-06-30,26.29,$-0.42,0.0
2023-03-31,24.36,$-1.21,0.0
2022-12-31,27.37,$-1.10,0.0
2022-09-30,24.97,$-0.76,0.0
2022-06-30,24.53,$-0.70,0.0
2022-03-31,28.89,$-2.21,0.0
2021-12-31,30.48,$-0.74,0.0
2021-09-30,27.4,$-1.36,0.0
2021-06-30,27.99,$-0.60,0.0
2021-03-31,29.82,$0.80,37.19
2020-12-31,23.26,$-0.37,0.0
2020-09-30,16.47,$0.03,565.94
2020-06-30,17.28,$-0.96,0.0
2020-03-31,12.83,$-1.64,0.0
2019-12-31,21.83,$-0.63,0.0
2019-09-30,19.4,$-0.46,0.0
2019-06-30,18.16,$-0.36,0.0
2019-03-31,17.37,$-0.35,0.0
