Cyclacel Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Cyclacel Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Cyclacel Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Cyclacel Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.3,,0.0
2024-09-30,0.99,$-19.30,0.0
2024-06-30,1.62,$-9.97,0.0
2024-03-31,2.11,$-11.10,0.0
2023-12-31,2.67,$-18.94,0.0
2023-09-30,5.32,$-7.85,0.0
2023-06-30,8.84,$-28.58,0.0
2023-03-31,8.56,$-29.72,0.0
2022-12-31,10.01,$-31.68,0.0
2022-09-30,21.9,$-31.62,0.0
2022-06-30,16.2,$-31.39,0.0
2022-03-31,45.75,$-33.56,0.0
2021-12-31,58.35,$-31.19,0.0
2021-09-30,79.05,$-34.50,0.0
2021-06-30,88.8,$-27.66,0.0
2021-03-31,106.65,$8.07,13.21
2020-12-31,117.15,$-33.14,0.0
2020-09-30,54.75,$-49.29,0.0
2020-06-30,69.75,$-81.49,0.0
2020-03-31,115.71,$-141.66,0.0
2019-12-31,201.0,$-173.06,0.0
2019-09-30,118.95,$-194.52,0.0
2019-06-30,162.15,$-177.51,0.0
2019-03-31,280.5,$-193.50,0.0
2018-12-31,181.5,$-167.11,0.0
2018-09-30,411.0,$-251.15,0.0
2018-06-30,426.0,$-122.35,0.0
2018-03-31,405.0,$-80.81,0.0
2017-12-31,522.0,$-294.43,0.0
2017-09-30,549.0,$-426.38,0.0
2017-06-30,1131.0,$-734.89,0.0
2017-03-31,1104.0,$-830.97,0.0
2016-12-31,1587.0,$-881.60,0.0
2016-09-30,1800.0,$-991.89,0.0
2016-06-30,1506.0,"$-1,214.42",0.0
2016-03-31,1386.0,"$-1,241.60",0.0
2015-12-31,1800.0,"$-1,601.93",0.0
2015-09-30,1819.8,"$-1,908.45",0.0
2015-06-30,2880.0,"$-2,505.14",0.0
2015-03-31,3240.0,"$-2,918.76",0.0
2014-12-31,2519.64,"$-3,116.96",0.0
2014-09-30,10944.0,"$-4,191.28",0.0
2014-06-30,11052.0,"$-3,003.91",0.0
2014-03-31,13248.0,"$-3,240.41",0.0
2013-12-31,14472.0,"$-4,371.20",0.0
2013-09-30,15336.0,"$-3,749.14",0.0
2013-06-30,10620.0,"$-4,820.16",0.0
2013-03-31,20124.0,"$-5,485.58",0.0
2012-12-31,21816.0,"$-5,206.28",0.0
2012-09-30,16776.0,$957.48,17.52
2012-06-30,11592.0,"$-3,172.59",0.0
2012-03-31,18144.0,"$-1,730.13",0.0
2011-12-31,14868.0,$-1.95,0.0
2011-09-30,11088.0,"$-5,030.98",0.0
2011-06-30,34272.0,$-0.26,0.0
2011-03-31,36036.0,$-0.28,0.0
2010-12-31,37044.0,$-0.35,0.0
2010-09-30,43344.0,$-0.45,0.0
2010-06-30,43344.0,$-0.42,0.0
2010-03-31,54180.0,$-0.58,0.0
2009-12-31,26208.0,$-0.67,0.0
