Super Group (SGHC) Price to Free Cash Flow Ratio Historical Data,Super Group (SGHC) Price to Free Cash Flow Ratio Historical Data,Super Group (SGHC) Price to Free Cash Flow Ratio Historical Data,Super Group (SGHC) Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.98,,25.97
2024-09-30,3.63,$0.27,13.5
2024-06-30,3.23,$0.27,12.02
2024-03-31,3.45,$0.27,12.83
2023-12-31,3.17,$0.27,11.79
2023-09-30,3.69,$0.35,10.69
2023-06-30,2.9,$0.28,10.35
2023-03-31,4.03,$0.31,12.99
2022-12-31,3.0,$0.35,8.69
2022-09-30,4.08,$4.59,0.89
2022-06-30,4.1,$4.54,0.9
2022-03-31,10.71,$4.46,2.4
2021-12-31,9.92,$4.41,2.25
2021-09-30,10.02,$-0.18,0.0
