National Steel Price to Free Cash Flow Ratio Historical Data,National Steel Price to Free Cash Flow Ratio Historical Data,National Steel Price to Free Cash Flow Ratio Historical Data,National Steel Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.79,,2.7
2024-09-30,2.27,$0.66,3.43
2024-06-30,2.19,$0.43,5.05
2024-03-31,2.83,$0.44,6.49
2023-12-31,3.55,$0.44,8.14
2023-09-30,2.06,$-0.19,0.0
2023-06-30,2.23,$0.20,11.31
2023-03-31,2.42,$-0.19,0.0
2022-12-31,2.1,$-0.19,0.0
2022-09-30,1.68,0,0.0
2022-06-30,2.07,$-0.39,0.0
2022-03-31,3.75,0,0.0
2021-12-31,3.04,0,0.0
2021-09-30,3.61,$0.62,5.78
2021-06-30,5.85,$0.91,6.44
2021-03-31,4.4,$1.03,4.26
2020-12-31,3.91,$1.11,3.52
2020-09-30,1.93,$0.75,2.58
2020-06-30,1.29,$0.48,2.69
2020-03-31,0.86,$0.40,2.17
2019-12-31,2.26,$0.49,4.64
2019-09-30,2.07,$0.31,6.59
2019-06-30,2.77,$0.37,7.4
2019-03-31,2.64,$0.29,9.04
2018-12-31,1.41,$0.18,7.92
2018-09-30,1.46,$-0.09,0.0
2018-06-30,1.21,$0.04,27.9
2018-03-31,1.57,$0.01,0.0
2017-12-31,1.47,$-0.11,0.0
2017-09-30,1.77,$-0.25,0.0
2017-06-30,1.29,$-0.37,0.0
2017-03-31,1.75,$-0.12,0.0
2016-12-31,1.93,$-0.29,0.0
2016-09-30,1.65,$0.92,1.8
2016-06-30,1.47,$0.87,1.69
2016-03-31,1.18,$0.19,6.08
2015-12-31,0.58,$0.76,0.77
2015-09-30,0.57,$-0.11,0.0
2015-06-30,0.99,$-0.25,0.0
2015-03-31,1.0,$0.05,21.51
2014-12-31,1.16,$-0.20,0.0
2014-09-30,1.97,$-0.21,0.0
2014-06-30,2.37,$-0.15,0.0
2014-03-31,2.42,$0.21,11.38
2013-12-31,3.33,$-0.09,0.0
2013-09-30,2.24,$0.32,7.1
2013-06-30,1.41,$0.38,3.69
2013-03-31,2.19,$-0.14,0.0
2012-12-31,2.83,$0.12,23.38
2012-09-30,2.7,$-0.37,0.0
2012-06-30,2.72,$-0.53,0.0
2012-03-31,4.3,$-0.08,0.0
2011-12-31,3.72,$-0.08,0.0
2011-09-30,3.61,$-0.53,0.0
2011-06-30,5.67,$-0.26,0.0
2011-03-31,7.17,$-0.41,0.0
2010-12-31,7.17,$-0.45,0.0
2010-09-30,7.61,$-0.02,0.0
2010-06-30,6.32,$0.06,100.84
2010-03-31,8.32,$-1.56,0.0
2009-12-31,6.65,$-1.84,0.0
