First Community Price to Free Cash Flow Ratio Historical Data,First Community Price to Free Cash Flow Ratio Historical Data,First Community Price to Free Cash Flow Ratio Historical Data,First Community Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,22.36,,17.62
2024-12-31,24.0,$1.27,18.91
2024-09-30,21.31,$2.90,7.35
2024-06-30,17.03,$1.95,8.72
2024-03-31,17.07,$1.58,10.81
2023-12-31,20.92,$1.46,14.34
2023-09-30,16.64,$0.95,17.54
2023-06-30,16.61,$1.77,9.37
2023-03-31,19.01,$3.57,5.33
2022-12-31,20.66,$2.88,7.16
2022-09-30,16.41,$2.88,5.69
2022-06-30,17.84,$3.40,5.24
2022-03-31,19.6,$4.10,4.79
2021-12-31,19.18,$7.76,2.47
2021-09-30,18.09,$6.98,2.59
2021-06-30,18.35,$4.71,3.89
2021-03-31,18.0,$0.70,25.62
2020-12-31,15.23,$-2.42,0.0
2020-09-30,12.12,$-2.02,0.0
2020-06-30,13.35,$-0.60,0.0
2020-03-31,13.74,$1.01,13.61
2019-12-31,18.78,$0.31,61.06
2019-09-30,16.83,$0.94,17.93
2019-06-30,15.9,$0.82,19.44
2019-03-31,16.29,$1.85,8.8
2018-12-31,16.5,$2.54,6.49
2018-09-30,20.46,$2.34,8.74
2018-06-30,21.14,$1.87,11.32
2018-03-31,19.2,$1.37,14.05
2017-12-31,18.86,$2.18,8.65
2017-09-30,17.0,$1.07,15.9
2017-06-30,17.38,$1.87,9.3
2017-03-31,18.13,$1.36,13.38
2016-12-31,14.81,$0.57,25.79
2016-09-30,12.86,$1.56,8.26
2016-06-30,11.36,$1.52,7.47
2016-03-31,11.65,$2.10,5.55
2015-12-31,11.98,$1.76,6.8
2015-09-30,9.89,$1.62,6.11
2015-06-30,9.68,$0.90,10.7
2015-03-31,9.21,$1.11,8.3
2014-12-31,8.87,$1.33,6.67
2014-09-30,8.3,$0.14,60.59
2014-06-30,8.26,$1.40,5.91
2014-03-31,8.63,$1.28,6.75
2013-12-31,7.98,$2.43,3.29
2013-09-30,7.96,$3.95,2.02
2013-06-30,6.98,$1.71,4.07
2013-03-31,6.76,$2.20,3.08
2012-12-31,6.29,$1.25,5.02
2012-09-30,6.3,$0.39,16.23
2012-06-30,5.94,$1.92,3.09
2012-03-31,5.72,$1.97,2.9
2011-12-31,4.55,$1.90,2.4
2011-09-30,4.26,$3.08,1.38
2011-06-30,5.04,$2.89,1.75
2011-03-31,4.86,$2.72,1.79
2010-12-31,4.15,$2.89,1.44
2010-09-30,3.71,$1.43,2.6
2010-06-30,4.1,$1.13,3.62
2010-03-31,4.36,$1.44,3.02
2009-12-31,4.4,$1.42,3.09
