Live Ventures Price to Free Cash Flow Ratio Historical Data,Live Ventures Price to Free Cash Flow Ratio Historical Data,Live Ventures Price to Free Cash Flow Ratio Historical Data,Live Ventures Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.75,,1.56
2024-12-31,9.33,$4.32,2.16
2024-09-30,15.27,$3.86,3.96
2024-06-30,22.69,$0.90,25.28
2024-03-31,26.97,$1.20,22.55
2023-12-31,25.4,$5.49,4.63
2023-09-30,28.29,$5.13,5.51
2023-06-30,26.21,$4.44,5.9
2023-03-31,30.72,$2.44,12.59
2022-12-31,31.3,$-0.57,0.0
2022-09-30,25.05,$-1.81,0.0
2022-06-30,25.07,$-0.62,0.0
2022-03-31,43.88,$0.35,123.81
2021-12-31,31.53,$4.80,6.56
2021-09-30,37.0,$5.77,6.42
2021-06-30,61.6,$9.56,6.44
2021-03-31,23.89,$10.39,2.3
2020-12-31,12.42,$7.71,1.61
2020-09-30,8.94,$7.05,1.27
2020-06-30,9.5,$10.14,0.94
2020-03-31,5.26,$8.72,0.6
2019-12-31,7.51,$7.58,0.99
2019-09-30,8.57,$10.19,0.84
2019-06-30,7.17,$5.08,1.41
2019-03-31,7.8,$3.53,2.21
2018-12-31,6.72,$3.85,1.75
2018-09-30,9.0,$0.83,10.82
2018-06-30,12.56,$0.60,21.09
2018-03-31,12.16,$1.02,11.92
2017-12-31,15.98,$0.63,25.22
2017-09-30,12.4,$0.40,31.0
2017-06-30,10.34,$0.58,17.83
2017-03-31,15.9,$0.13,126.79
2016-12-31,24.02,$0.85,28.23
2016-09-30,11.46,$1.62,7.09
2016-06-30,9.0,$1.51,5.96
2016-03-31,8.34,$0.99,8.46
2015-12-31,8.76,$0.94,9.32
2015-09-30,10.08,$-0.39,0.0
2015-06-30,15.18,$-1.21,0.0
2015-03-31,18.9,$-2.08,0.0
2014-12-31,18.84,$-2.80,0.0
2014-09-30,17.88,$-2.41,0.0
2014-06-30,26.22,$-2.12,0.0
2014-03-31,41.04,$-1.06,0.0
2013-12-31,7.96,$-1.12,0.0
2013-09-30,6.87,$-1.18,0.0
2013-06-30,5.44,$-0.97,0.0
2013-03-31,7.34,$-0.84,0.0
2012-12-31,7.6,$-0.32,0.0
2012-09-30,10.34,$-0.02,0.0
2012-06-30,23.92,$-1.15,0.0
2012-03-31,8.3,$-4.42,0.0
2011-12-31,7.98,$-8.26,0.0
2011-09-30,3.2,$-12.94,0.0
2011-06-30,6.0,$-23.41,0.0
2011-03-31,7.11,$-16.28,0.0
2010-12-31,12.96,$-17.23,0.0
2010-09-30,9.39,$-12.64,0.0
2010-06-30,9.88,$-6.05,0.0
2010-03-31,11.4,$-11.55,0.0
2009-12-31,22.8,$-9.69,0.0
