Zhongchao Price to Free Cash Flow Ratio Historical Data,Zhongchao Price to Free Cash Flow Ratio Historical Data,Zhongchao Price to Free Cash Flow Ratio Historical Data,Zhongchao Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.29,,inf
2023-12-31,3.51,0.0,0.0
2023-06-30,12.0,0.0,0.0
2022-12-31,11.49,0.0,0.0
2022-06-30,12.96,0.0,0.0
2021-12-31,17.8,0.0,0.0
