UTStarcom Holdings Corp Price to Free Cash Flow Ratio Historical Data,UTStarcom Holdings Corp Price to Free Cash Flow Ratio Historical Data,UTStarcom Holdings Corp Price to Free Cash Flow Ratio Historical Data,UTStarcom Holdings Corp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.4,,0.0
2019-12-31,11.8,$-2.77,0.0
2019-09-30,11.96,$-2.61,0.0
2019-06-30,12.32,$-2.85,0.0
2019-03-31,14.68,$-3.29,0.0
2018-12-31,10.88,$-2.90,0.0
2018-09-30,15.36,$-4.57,0.0
2018-06-30,16.32,$-2.99,0.0
2018-03-31,19.68,$-1.21,0.0
2017-12-31,22.52,$0.34,65.58
2017-09-30,9.6,$1.47,6.51
2017-06-30,9.36,$1.29,7.24
2017-03-31,7.84,$1.06,7.4
2016-12-31,8.0,$0.32,25.32
2016-09-30,8.28,$1.04,7.93
2016-06-30,7.66,$0.41,18.8
2016-03-31,7.36,$-0.13,0.0
2015-12-31,9.92,$-1.36,0.0
2015-09-30,9.72,$-3.12,0.0
2015-06-30,7.96,$-2.58,0.0
2015-03-31,10.6,$-2.49,0.0
2014-12-31,11.32,$-1.81,0.0
2014-09-30,12.2,$-1.24,0.0
2014-06-30,11.72,$-0.92,0.0
2014-03-31,10.88,$-0.26,0.0
2013-12-31,11.08,$-0.58,0.0
2013-09-30,11.0,$-0.63,0.0
2013-06-30,10.64,$-2.98,0.0
2013-03-31,11.24,$-3.22,0.0
2012-12-31,12.38,$-2.56,0.0
2012-09-30,12.36,$-2.20,0.0
2012-06-30,14.28,$-1.37,0.0
2012-03-31,17.4,$-0.83,0.0
2011-12-31,16.56,$-3.96,0.0
2011-09-30,12.24,$-3.43,0.0
2011-06-30,18.72,$-3.53,0.0
2011-03-31,28.2,$2.88,9.79
2010-12-31,24.72,$2.48,9.97
2010-09-30,26.04,$4.79,5.44
2010-06-30,22.08,$1.20,18.46
2010-03-31,33.48,$-8.13,0.0
2009-12-31,26.28,$-5.86,0.0
