Target Hospitality Price to Free Cash Flow Ratio Historical Data,Target Hospitality Price to Free Cash Flow Ratio Historical Data,Target Hospitality Price to Free Cash Flow Ratio Historical Data,Target Hospitality Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.95,,4.73
2024-09-30,7.78,$1.26,6.19
2024-06-30,8.71,$1.36,6.39
2024-03-31,10.87,$1.38,7.88
2023-12-31,9.73,$0.88,11.0
2023-09-30,15.88,$0.66,24.1
2023-06-30,13.42,$2.25,5.96
2023-03-31,13.14,$1.91,6.88
2022-12-31,15.14,$1.65,9.16
2022-09-30,12.62,$1.52,8.32
2022-06-30,5.71,$-0.11,0.0
2022-03-31,6.0,$0.48,12.43
2021-12-31,3.56,$0.71,5.01
2021-09-30,3.73,$0.96,3.88
2021-06-30,3.71,$0.70,5.3
2021-03-31,2.51,$0.25,9.94
2020-12-31,1.58,$0.37,4.31
2020-09-30,1.22,$0.24,5.11
2020-06-30,1.69,$0.17,9.97
2020-03-31,1.99,$0.02,95.67
2019-12-31,5.0,$-0.25,0.0
2019-09-30,6.81,$-0.40,0.0
2019-06-30,9.1,$-0.13,0.0
2019-03-31,9.5,$-0.84,0.0
2018-12-31,10.08,$-1.30,0.0
