Precision BioSciences Price to Free Cash Flow Ratio Historical Data,Precision BioSciences Price to Free Cash Flow Ratio Historical Data,Precision BioSciences Price to Free Cash Flow Ratio Historical Data,Precision BioSciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.36,,0.0
2024-09-30,8.96,$-7.64,0.0
2024-06-30,9.73,$-12.98,0.0
2024-03-31,13.56,$-17.51,0.0
2023-12-31,10.95,$-22.38,0.0
2023-09-30,10.24,$-29.76,0.0
2023-06-30,15.78,$-6.81,0.0
2023-03-31,22.61,$-10.76,0.0
2022-12-31,35.7,$-16.75,0.0
2022-09-30,39.0,$-20.02,0.0
2022-06-30,48.0,$-49.33,0.0
2022-03-31,92.4,$-58.25,0.0
2021-12-31,222.0,$-8.14,0.0
2021-09-30,346.2,$-4.00,0.0
2021-06-30,375.6,$-4.73,0.0
2021-03-31,310.5,$-2.03,0.0
2020-12-31,250.2,$-53.34,0.0
2020-09-30,184.8,$-71.81,0.0
2020-06-30,249.9,$-70.18,0.0
2020-03-31,180.9,$-37.24,0.0
2019-12-31,416.7,$-68.43,0.0
