Mistras Group Inc Price to Free Cash Flow Ratio Historical Data,Mistras Group Inc Price to Free Cash Flow Ratio Historical Data,Mistras Group Inc Price to Free Cash Flow Ratio Historical Data,Mistras Group Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.01,,9.35
2024-12-31,9.06,$1.07,8.46
2024-09-30,11.37,$0.68,16.66
2024-06-30,8.29,$-0.18,0.0
2024-03-31,9.56,$0.11,88.52
2023-12-31,7.32,$0.24,29.96
2023-09-30,5.45,$0.34,16.22
2023-06-30,7.72,$0.74,10.38
2023-03-31,6.78,$0.78,8.73
2022-12-31,4.93,$0.50,9.94
2022-09-30,4.46,$0.64,7.0
2022-06-30,5.94,$0.60,9.87
2022-03-31,6.61,$0.58,11.43
2021-12-31,7.43,$0.84,8.86
2021-09-30,10.16,$1.02,9.91
2021-06-30,9.83,$1.16,8.46
2021-03-31,11.41,$1.75,6.53
2020-12-31,7.76,$1.83,4.25
2020-09-30,3.91,$1.58,2.47
2020-06-30,3.95,$1.93,2.04
2020-03-31,4.26,$1.29,3.29
2019-12-31,14.27,$1.34,10.65
2019-09-30,16.4,$1.25,13.11
2019-06-30,14.37,$0.78,18.31
2019-03-31,13.81,$0.84,16.49
2018-12-31,14.38,$0.76,18.81
2018-09-30,21.67,$0.90,24.16
2018-06-30,18.88,$1.20,15.76
2018-03-31,18.94,$1.03,18.43
2017-12-31,23.47,$1.33,17.7
2017-09-30,20.5,$0.12,168.59
2017-06-30,21.97,$-0.92,0.0
2017-03-31,21.38,$-0.12,0.0
2016-12-31,25.68,$-1.04,0.0
2016-11-30,23.64,$0.66,36.0
2016-09-30,23.47,$0.54,43.56
2016-08-31,23.47,$0.46,51.21
2016-06-30,23.87,$2.56,9.34
2016-05-31,24.81,$1.76,14.07
2016-03-31,24.77,$3.01,8.22
2016-02-29,21.46,$1.36,15.73
2015-11-30,21.53,$0.65,33.37
2015-08-31,14.64,$0.08,183.0
2015-05-31,18.51,$-0.14,0.0
2015-02-28,18.85,$0.26,73.35
2014-11-30,17.09,$-0.14,0.0
2014-08-31,21.46,$0.15,145.39
2014-05-31,22.76,$0.28,81.0
2014-02-28,22.04,$0.01,0.0
2013-11-30,20.05,$0.28,71.35
2013-08-31,18.23,$0.43,42.04
2013-05-31,21.38,$0.78,27.43
2013-02-28,20.45,$0.94,21.77
2012-11-30,21.69,$0.78,27.83
2012-08-31,21.81,$0.21,106.03
2012-05-31,22.54,$-0.11,0.0
2012-02-29,22.4,$-0.07,0.0
2011-11-30,23.53,$-0.11,0.0
2011-08-31,20.2,$0.27,74.84
2011-05-31,17.41,$0.20,87.09
2011-02-28,15.09,$0.28,53.76
2010-11-30,11.9,$0.20,59.53
2010-08-31,10.6,$-0.05,0.0
2010-05-31,11.94,0,0.0
