Kenvue Price to Free Cash Flow Ratio Historical Data,Kenvue Price to Free Cash Flow Ratio Historical Data,Kenvue Price to Free Cash Flow Ratio Historical Data,Kenvue Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,23.39,,33.84
2024-12-31,21.35,$0.69,30.89
2024-09-30,23.13,$0.79,29.42
2024-06-30,18.18,$0.95,19.21
2024-03-31,21.46,$1.54,13.93
