Molson Coors Beverage Price to Free Cash Flow Ratio Historical Data,Molson Coors Beverage Price to Free Cash Flow Ratio Historical Data,Molson Coors Beverage Price to Free Cash Flow Ratio Historical Data,Molson Coors Beverage Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,58.99,,9.82
2024-12-31,57.32,$6.01,9.54
2024-09-30,57.11,$5.56,10.27
2024-06-30,50.06,$6.37,7.86
2024-03-31,66.23,$6.45,10.27
2023-12-31,59.86,$6.53,9.17
2023-09-30,61.78,$6.36,9.71
2023-06-30,63.55,$5.27,12.06
2023-03-31,49.56,$4.83,10.25
2022-12-31,49.03,$4.02,12.18
2022-09-30,45.35,$3.48,13.03
2022-06-30,51.14,$3.81,13.41
2022-03-31,49.73,$4.69,10.61
2021-12-31,42.86,$4.95,8.66
2021-09-30,42.57,$5.37,7.93
2021-06-30,48.93,$5.08,9.64
2021-03-31,46.61,$5.67,8.22
2020-12-31,41.18,$5.90,6.98
2020-09-30,30.58,$7.04,4.34
2020-06-30,31.31,$7.01,4.47
2020-03-31,35.55,$6.79,5.24
2019-12-31,48.54,$6.54,7.42
2019-09-30,51.2,$6.17,8.3
2019-06-30,49.32,$6.36,7.76
2019-03-31,52.14,$6.05,8.62
2018-12-31,48.77,$7.90,6.17
2018-09-30,53.4,$8.77,6.09
2018-06-30,58.72,$8.16,7.19
2018-03-31,64.59,$7.82,8.26
2017-12-31,70.0,$6.13,11.42
2017-09-30,69.26,$5.14,13.48
2017-06-30,72.91,$5.44,13.4
2017-03-31,80.48,$4.08,19.73
2016-12-31,81.5,$4.50,18.12
2016-09-30,91.58,$3.68,24.86
2016-06-30,84.02,$3.49,24.08
2016-03-31,79.58,$3.13,25.46
2015-12-31,77.36,$2.43,31.85
2015-09-30,68.08,$2.38,28.56
2015-06-30,56.91,$3.49,16.33
2015-03-31,60.35,$3.65,16.55
2014-12-31,60.09,$5.57,10.78
2014-09-30,59.73,$5.29,11.29
2014-06-30,59.21,$5.05,11.71
2014-03-31,46.73,$5.21,8.97
2013-12-31,44.29,$5.04,8.79
2013-09-30,39.3,$4.87,8.07
2013-06-30,37.27,$4.95,7.53
2013-03-31,37.87,$4.47,8.47
2012-12-31,32.88,$4.27,7.69
2012-09-30,34.34,$4.69,7.32
2012-06-30,31.49,$4.10,7.67
2012-03-31,33.97,$3.45,9.84
2011-12-31,32.45,$3.42,9.49
2011-09-30,29.28,$2.17,13.48
2011-06-30,32.83,$2.30,14.3
2011-03-31,34.16,$2.80,12.2
2010-12-31,36.33,$3.08,11.79
2010-09-30,33.99,$4.02,8.45
2010-06-30,30.3,$3.94,7.69
2010-03-31,29.87,$4.18,7.15
2009-12-31,31.89,$3.76,8.47
