NeueHealth Price to Free Cash Flow Ratio Historical Data,NeueHealth Price to Free Cash Flow Ratio Historical Data,NeueHealth Price to Free Cash Flow Ratio Historical Data,NeueHealth Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.27,,0.0
2024-09-30,5.22,$-54.66,0.0
2024-06-30,5.44,$-261.37,0.0
2024-03-31,6.5,$-271.05,0.0
2023-12-31,7.63,$-343.15,0.0
2023-09-30,5.97,$-285.71,0.0
2023-06-30,12.22,$-155.34,0.0
2023-03-31,0.22,$-112.77,0.0
2022-12-31,0.65,$26.36,0.02
2022-09-30,1.05,$-8.93,0.0
2022-06-30,1.82,$-144.83,0.0
2022-03-31,1.93,$67.55,0.03
