H&R Block Price to Free Cash Flow Ratio Historical Data,H&R Block Price to Free Cash Flow Ratio Historical Data,H&R Block Price to Free Cash Flow Ratio Historical Data,H&R Block Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,52.4,,11.78
2024-12-31,52.84,$4.45,11.88
2024-09-30,63.14,$4.45,14.19
2024-06-30,53.56,$4.57,11.73
2024-03-31,48.5,$4.53,10.7
2023-12-31,47.47,$3.27,14.53
2023-09-30,41.97,$4.53,9.27
2023-06-30,30.81,$4.78,6.44
2023-03-31,33.77,$5.26,6.42
2022-12-31,34.69,$4.52,7.68
2022-09-30,40.15,$4.08,9.85
2022-06-30,33.12,$4.35,7.61
2022-03-31,24.24,$-1.10,0.0
2021-12-31,21.69,$-7.97,0.0
2021-09-30,22.75,$3.37,6.75
2021-06-30,21.14,$4.01,5.27
2021-04-30,19.82,$4.56,4.34
2021-03-31,19.41,$3.05,6.35
2021-01-31,15.15,$-5.22,0.0
2020-12-31,13.95,$-4.16,0.0
2020-10-31,14.97,$6.23,2.4
2020-09-30,14.12,$2.99,4.73
2020-07-31,12.35,$2.32,5.32
2020-04-30,13.93,0,0.0
2020-01-31,19.09,$-0.96,0.0
2019-10-31,20.34,$-0.34,0.0
2019-07-31,22.3,$-0.60,0.0
2019-04-30,21.71,0,0.0
2019-01-31,18.63,$-0.08,0.0
2018-10-31,20.77,$-0.00,0.0
2018-07-31,19.5,$0.16,118.88
2018-04-30,21.2,$0.00,0.0
2018-01-31,20.18,$0.27,74.12
2017-10-31,18.63,$0.18,104.92
2017-07-31,22.77,$0.07,303.96
2017-04-30,18.36,0,0.0
2017-01-31,15.75,$-0.70,0.0
2016-10-31,16.69,$-1.14,0.0
2016-07-31,17.12,$-0.70,0.0
2016-04-30,14.43,0,0.0
2016-01-31,24.1,$-1.55,0.0
2015-10-31,26.23,$0.13,202.05
2015-07-31,23.3,$0.08,288.72
2015-04-30,21.03,$0.00,0.0
2015-01-31,23.69,$-0.35,0.0
2014-10-31,22.2,$-0.42,0.0
2014-07-31,21.94,$-0.19,0.0
2014-04-30,19.29,$-0.00,0.0
2014-01-31,20.49,$0.64,32.03
2013-10-31,19.04,$0.20,95.05
2013-07-31,20.88,$0.10,206.57
2013-04-30,18.31,0,0.0
2013-01-31,14.92,$-0.22,0.0
2012-10-31,11.47,$-0.24,0.0
2012-07-31,10.33,$-0.07,0.0
2012-04-30,9.29,0,0.0
2012-01-31,10.21,$0.14,74.5
2011-10-31,9.42,$-0.18,0.0
2011-07-31,9.12,$-0.21,0.0
2011-04-30,10.44,0,0.0
2011-01-31,7.48,$3.01,2.48
2010-10-31,6.96,$0.47,14.94
2010-07-31,9.16,$0.27,34.08
2010-04-30,10.59,0,0.0
2010-01-31,12.34,$-0.74,0.0
2009-10-31,10.43,$-2.37,0.0
