Cencora Price to Free Cash Flow Ratio Historical Data,Cencora Price to Free Cash Flow Ratio Historical Data,Cencora Price to Free Cash Flow Ratio Historical Data,Cencora Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,267.84,,0.0
2024-12-31,224.68,$-3.52,0.0
2024-09-30,224.57,$14.97,15.0
2024-06-30,224.3,$18.96,11.83
2024-03-31,241.37,$10.30,23.44
2023-12-31,203.56,$17.82,11.42
2023-09-30,177.91,$16.88,10.54
2023-06-30,189.74,$13.52,14.03
2023-03-31,157.43,$11.79,13.35
2022-12-31,162.42,$9.81,16.55
2022-09-30,132.23,$10.45,12.66
2022-06-30,137.82,$9.81,14.05
2022-03-31,150.26,$13.60,11.05
2021-12-31,128.64,$10.35,12.43
2021-09-30,115.21,$10.69,10.78
2021-06-30,110.02,$12.58,8.75
2021-03-31,113.03,$6.47,17.46
2020-12-31,93.2,$12.84,7.26
2020-09-30,92.02,$9.15,10.06
2020-06-30,95.29,$5.98,15.93
2020-03-31,83.28,$9.29,8.97
2019-12-31,79.65,$8.10,9.83
2019-09-30,76.78,$9.61,7.99
2019-06-30,79.15,$9.48,8.35
2019-03-31,73.44,$10.45,7.03
2018-12-31,68.4,$7.07,9.67
2018-09-30,84.4,$4.92,17.17
2018-06-30,77.7,$8.05,9.65
2018-03-31,78.21,$3.10,25.24
2017-12-31,82.98,$6.95,11.93
2017-09-30,74.43,$4.68,15.89
2017-06-30,84.64,$4.16,20.35
2017-03-31,78.9,$6.05,13.05
2016-12-31,69.43,$6.54,10.62
2016-09-30,71.41,$12.01,5.95
2016-06-30,69.85,$12.84,5.44
2016-03-31,75.87,$16.42,4.62
2015-12-31,90.56,$16.02,5.65
2015-09-30,82.66,$16.95,4.88
2015-06-30,92.27,$14.01,6.59
2015-03-31,98.39,$12.12,8.12
2014-12-31,77.81,$13.43,5.79
2014-09-30,66.5,$5.10,13.04
2014-06-30,62.31,$1.52,40.99
2014-03-31,56.05,$-0.36,0.0
2013-12-31,59.88,$-0.73,0.0
2013-09-30,51.86,$2.49,20.84
2013-06-30,47.04,$4.84,9.71
2013-03-31,43.18,$5.05,8.55
2012-12-31,36.08,$1.83,19.69
2012-09-30,32.18,$4.56,7.05
2012-06-30,32.6,$3.82,8.54
2012-03-31,32.74,$4.22,7.75
2011-12-31,30.59,$5.65,5.42
2011-09-30,30.55,$3.65,8.38
2011-06-30,33.83,$4.19,8.06
2011-03-31,32.24,$4.07,7.91
2010-12-31,27.73,$3.00,9.23
2010-09-30,24.84,$3.25,7.65
2010-06-30,25.65,$2.51,10.24
2010-03-31,23.3,$3.13,7.46
2009-12-31,20.94,$1.82,11.52
