Audioeye Price to Free Cash Flow Ratio Historical Data,Audioeye Price to Free Cash Flow Ratio Historical Data,Audioeye Price to Free Cash Flow Ratio Historical Data,Audioeye Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.49,,52.47
2024-12-31,15.21,$0.22,69.45
2024-09-30,22.85,$0.24,94.5
2024-06-30,17.61,$0.08,221.23
2024-03-31,10.01,$0.00,0.0
2023-12-31,5.42,$0.01,433.6
2023-09-30,4.95,$-0.10,0.0
2023-06-30,4.89,$-0.14,0.0
2023-03-31,7.1,$-0.24,0.0
2022-12-31,3.83,$-0.44,0.0
2022-09-30,5.51,$-0.64,0.0
2022-06-30,6.01,$-0.78,0.0
2022-03-31,6.81,$-0.69,0.0
2021-12-31,7.02,$-0.46,0.0
2021-09-30,11.03,$-0.31,0.0
2021-06-30,16.79,$-0.11,0.0
2021-03-31,27.94,$-0.14,0.0
2020-12-31,25.83,$-0.20,0.0
2020-09-30,14.59,$-0.28,0.0
2020-06-30,10.0,$-0.40,0.0
2020-03-31,4.44,$-0.49,0.0
2019-12-31,4.69,$-0.70,0.0
2019-09-30,3.87,$-0.59,0.0
2019-06-30,7.9,$-0.63,0.0
