Community Financial System Price to Free Cash Flow Ratio Historical Data,Community Financial System Price to Free Cash Flow Ratio Historical Data,Community Financial System Price to Free Cash Flow Ratio Historical Data,Community Financial System Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,57.16,,13.3
2024-12-31,61.68,$4.30,14.35
2024-09-30,57.67,$3.92,14.71
2024-06-30,46.52,$4.02,11.57
2024-03-31,46.83,$4.13,11.34
2023-12-31,50.29,$4.04,12.43
2023-09-30,40.39,$4.55,8.88
2023-06-30,44.41,$4.19,10.59
2023-03-31,49.29,$4.24,11.63
2022-12-31,58.64,$3.77,15.57
2022-09-30,55.56,$3.35,16.59
2022-06-30,58.11,$3.70,15.7
2022-03-31,63.97,$3.27,19.55
2021-12-31,67.52,$3.48,19.4
2021-09-30,61.67,$3.56,17.31
2021-06-30,67.75,$2.89,23.43
2021-03-31,68.34,$3.77,18.14
2020-12-31,55.22,$3.10,17.84
2020-09-30,47.95,$3.55,13.5
2020-06-30,49.85,$3.84,12.99
2020-03-31,51.03,$3.58,14.27
2019-12-31,61.13,$3.77,16.23
2019-09-30,52.85,$3.34,15.81
2019-06-30,56.05,$3.60,15.56
2019-03-31,50.59,$3.52,14.37
2018-12-31,49.04,$4.03,12.16
2018-09-30,51.05,$4.12,12.39
2018-06-30,49.09,$3.93,12.49
2018-03-31,44.26,$3.89,11.39
2017-12-31,44.15,$3.62,12.21
2017-09-30,45.08,$3.18,14.19
2017-06-30,45.21,$3.08,14.67
2017-03-31,44.33,$3.10,14.31
2016-12-31,49.54,$2.77,17.87
2016-09-30,38.37,$2.99,12.85
2016-06-30,32.55,$2.87,11.34
2016-03-31,30.04,$2.69,11.16
2015-12-31,31.15,$2.59,12.03
2015-09-30,28.76,$2.38,12.09
2015-06-30,28.97,$2.50,11.6
2015-03-31,26.93,$2.46,10.96
2014-12-31,28.77,$2.65,10.86
2014-09-30,25.15,$2.74,9.18
2014-06-30,26.87,$2.33,11.53
2014-03-31,28.75,$2.38,12.08
2013-12-31,29.02,$2.21,13.16
2013-09-30,24.77,$1.92,12.89
2013-06-30,22.21,$2.46,9.04
2013-03-31,21.13,$2.21,9.57
2012-12-31,19.33,$2.46,7.86
2012-09-30,19.72,$2.39,8.26
2012-06-30,18.79,$2.29,8.21
2012-03-31,19.75,$2.45,8.07
2011-12-31,18.9,$2.34,8.07
2011-09-30,15.27,$2.63,5.8
2011-06-30,16.5,$2.53,6.52
2011-03-31,15.99,$2.81,5.69
2010-12-31,18.11,$2.45,7.4
2010-09-30,14.87,$1.60,9.28
2010-06-30,14.09,$1.48,9.5
2010-03-31,14.41,$1.69,8.51
2009-12-31,12.1,$0.92,13.14
