Interactive Strength Price to Free Cash Flow Ratio Historical Data,Interactive Strength Price to Free Cash Flow Ratio Historical Data,Interactive Strength Price to Free Cash Flow Ratio Historical Data,Interactive Strength Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.28,,0.0
2024-09-30,0.16,"$-5,409.38",0.0
2024-06-30,1.41,"$-2,676.45",0.0
2024-03-31,0.26,"$-6,207.29",0.0
