Groupon Price to Free Cash Flow Ratio Historical Data,Groupon Price to Free Cash Flow Ratio Historical Data,Groupon Price to Free Cash Flow Ratio Historical Data,Groupon Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.52,,13.03
2024-12-31,12.15,$1.27,9.58
2024-09-30,9.78,$1.30,7.54
2024-06-30,15.3,$1.25,12.27
2024-03-31,13.34,$-0.67,0.0
2023-12-31,12.84,$-3.07,0.0
2023-09-30,15.32,$-4.35,0.0
2023-06-30,5.91,$-5.52,0.0
2023-03-31,4.21,$-5.42,0.0
2022-12-31,8.58,$-5.71,0.0
2022-09-30,7.96,$-5.42,0.0
2022-06-30,11.3,$-5.93,0.0
2022-03-31,19.23,$-6.30,0.0
2021-12-31,23.16,$-5.18,0.0
2021-09-30,22.81,$-3.40,0.0
2021-06-30,43.16,$-1.41,0.0
2021-03-31,50.55,$2.85,17.73
2020-12-31,38.0,$-3.93,0.0
2020-09-30,20.4,$0.26,79.25
2020-06-30,18.12,$0.46,39.01
2020-03-31,19.6,$-2.78,0.0
2019-12-31,47.8,$0.14,342.9
2019-09-30,53.2,$4.33,12.28
2019-06-30,71.6,$1.84,38.93
2019-03-31,71.0,$3.47,20.46
2018-12-31,64.0,$4.28,14.96
2018-09-30,75.4,$2.36,31.91
2018-06-30,86.0,$5.18,16.59
2018-03-31,86.8,$2.90,29.95
2017-12-31,102.0,$2.43,42.03
2017-09-30,104.0,$3.00,34.67
2017-06-30,76.8,$0.77,99.15
2017-03-31,78.6,$-0.40,0.0
2016-12-31,66.4,$1.74,38.17
2016-09-30,103.0,$-0.39,0.0
2016-06-30,65.0,$-0.20,0.0
2016-03-31,79.8,$2.21,36.08
2015-12-31,61.4,$5.55,11.05
2015-09-30,65.2,$6.66,9.79
2015-06-30,100.6,$9.14,11.01
2015-03-31,144.2,$7.66,18.81
2014-12-31,165.2,$6.56,25.19
2014-09-30,133.6,$2.93,45.53
2014-06-30,132.4,$1.34,98.61
2014-03-31,156.8,$3.76,41.69
2013-12-31,235.3,$4.67,50.42
2013-09-30,224.22,$0.71,316.69
2013-06-30,171.0,$2.37,72.01
2013-03-31,122.4,$2.89,42.31
2012-12-31,97.2,$5.26,18.48
2012-09-30,95.3,$18.07,5.28
