Kelly Services Price to Free Cash Flow Ratio Historical Data,Kelly Services Price to Free Cash Flow Ratio Historical Data,Kelly Services Price to Free Cash Flow Ratio Historical Data,Kelly Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.66,,24.13
2024-12-31,13.94,$0.57,24.62
2024-09-30,21.3,$1.30,16.35
2024-06-30,21.22,$2.14,9.93
2024-03-31,24.73,$1.35,18.26
2023-12-31,21.29,$1.69,12.59
2023-09-30,17.85,$1.51,11.82
2023-06-30,17.21,$1.12,15.4
2023-03-31,16.15,$0.24,67.76
2022-12-31,16.37,$-2.05,0.0
2022-09-30,13.11,$-1.70,0.0
2022-06-30,19.04,$-2.00,0.0
2022-03-31,20.75,$-1.10,0.0
2021-12-31,16.01,$1.87,8.57
2021-09-30,17.97,$0.68,26.51
2021-06-30,22.76,$1.10,20.73
2021-03-31,21.15,$4.39,4.81
2020-12-31,19.53,$5.75,3.4
2020-09-30,16.18,$6.22,2.6
2020-06-30,15.02,$8.38,1.79
2020-03-31,12.05,$3.57,3.38
2019-12-31,21.36,$2.45,8.72
2019-09-30,22.83,$2.42,9.44
2019-06-30,24.62,$0.13,194.76
2019-03-31,20.67,$1.57,13.13
2018-12-31,19.13,$0.92,20.9
2018-09-30,22.38,$1.09,20.46
2018-06-30,20.84,$0.82,25.46
2018-03-31,26.88,$0.40,67.6
2017-12-31,25.17,$1.18,21.25
2017-09-30,23.11,$0.67,34.52
2017-06-30,20.6,$0.71,29.17
2017-03-31,20.0,$0.79,25.4
2016-12-31,20.9,$0.71,29.29
2016-09-30,17.46,$1.12,15.63
2016-06-30,17.16,$2.06,8.32
2016-03-31,17.23,$1.21,14.2
2015-12-31,14.51,$0.22,65.49
2015-09-30,12.67,$0.49,25.93
2015-06-30,13.71,$-0.21,0.0
2015-03-31,15.53,$-0.43,0.0
2014-12-31,15.11,$-2.45,0.0
2014-09-30,13.87,$-1.02,0.0
2014-06-30,15.15,$0.03,482.36
2014-03-31,20.88,$-0.04,0.0
2013-12-31,21.89,$2.56,8.57
2013-09-30,17.05,$1.15,14.77
2013-06-30,15.26,$0.59,26.0
2013-03-31,16.27,$0.90,18.1
2012-12-31,13.67,$1.07,12.77
2012-09-30,10.9,$0.41,26.66
2012-06-30,11.13,$0.35,31.69
2012-03-31,13.73,$0.56,24.53
2011-12-31,11.71,$0.10,116.48
2011-09-30,9.72,$0.89,10.91
2011-06-30,14.03,$1.17,12.02
2011-03-31,18.46,$1.23,15.02
2010-12-31,15.98,$0.85,18.73
2010-09-30,9.97,$-1.75,0.0
2010-06-30,12.64,$-3.04,0.0
2010-03-31,14.16,$-2.40,0.0
2009-12-31,10.14,$-1.16,0.0
