Polar Power Price to Free Cash Flow Ratio Historical Data,Polar Power Price to Free Cash Flow Ratio Historical Data,Polar Power Price to Free Cash Flow Ratio Historical Data,Polar Power Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.71,,0.0
2024-09-30,3.34,$-0.30,0.0
2024-06-30,2.79,$-0.22,0.0
2024-03-31,3.89,$-1.68,0.0
2023-12-31,2.85,$-1.91,0.0
2023-09-30,7.77,$-2.84,0.0
2023-06-30,9.17,$-3.90,0.0
2023-03-31,9.24,$-3.71,0.0
2022-12-31,9.03,$-3.55,0.0
2022-09-30,17.29,$-3.91,0.0
2022-06-30,18.76,$-3.12,0.0
2022-03-31,22.4,$-3.78,0.0
2021-12-31,25.06,$-5.20,0.0
2021-09-30,38.78,$-4.21,0.0
2021-06-30,65.59,$-5.07,0.0
2021-03-31,97.23,$-4.85,0.0
2020-12-31,33.43,$-4.25,0.0
2020-09-30,22.12,$-4.30,0.0
2020-06-30,34.72,$-4.18,0.0
2020-03-31,8.66,$-1.60,0.0
2019-12-31,16.66,$-1.73,0.0
2019-09-30,21.98,$-4.63,0.0
2019-06-30,29.12,$-4.21,0.0
2019-03-31,31.57,$-5.53,0.0
2018-12-31,33.81,$-5.81,0.0
2018-09-30,35.84,$-2.80,0.0
2018-06-30,42.77,$-2.23,0.0
2018-03-31,34.94,$-4.09,0.0
2017-12-31,35.07,$-1.33,0.0
2017-09-30,33.53,$-0.52,0.0
