Evolv Technologies Holdings Price to Free Cash Flow Ratio Historical Data,Evolv Technologies Holdings Price to Free Cash Flow Ratio Historical Data,Evolv Technologies Holdings Price to Free Cash Flow Ratio Historical Data,Evolv Technologies Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.11,,0.0
2024-06-30,2.55,$-0.59,0.0
2024-03-31,4.45,$-0.65,0.0
2023-12-31,4.72,$-0.53,0.0
2023-09-30,4.86,$-0.40,0.0
2023-06-30,6.0,$-0.50,0.0
2023-03-31,3.12,$-0.53,0.0
2022-12-31,2.59,$-0.67,0.0
2022-09-30,2.12,$-1.28,0.0
2022-06-30,2.66,$0.73,3.63
2022-03-31,2.65,$0.12,22.46
2021-12-31,4.46,$-1.02,0.0
2021-09-30,5.97,$-1.15,0.0
2021-06-30,10.03,$-5.54,0.0
