First Majestic Silver Price to Free Cash Flow Ratio Historical Data,First Majestic Silver Price to Free Cash Flow Ratio Historical Data,First Majestic Silver Price to Free Cash Flow Ratio Historical Data,First Majestic Silver Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.06,,0.0
2024-09-30,6.0,$-0.09,0.0
2024-06-30,5.91,$-0.16,0.0
2024-03-31,5.87,$-0.19,0.0
2023-12-31,6.13,$-0.32,0.0
2023-09-30,5.11,$-0.56,0.0
2023-06-30,5.62,$-0.48,0.0
2023-03-31,7.17,$-0.73,0.0
2022-12-31,8.29,$-0.76,0.0
2022-09-30,7.57,$-0.39,0.0
2022-06-30,7.12,$-0.63,0.0
2022-03-31,13.05,$-0.55,0.0
2021-12-31,11.01,$-0.49,0.0
2021-09-30,11.19,$-0.57,0.0
2021-06-30,15.65,$-0.22,0.0
2021-03-31,15.42,$-0.22,0.0
2020-12-31,13.3,$-0.15,0.0
2020-09-30,9.42,$-0.08,0.0
2020-06-30,9.85,$-0.17,0.0
2020-03-31,6.13,$-0.00,0.0
2019-12-31,12.13,$0.11,114.25
2019-09-30,9.0,$-0.08,0.0
2019-06-30,7.83,$-0.29,0.0
2019-03-31,6.51,$-0.33,0.0
2018-12-31,5.83,$-0.43,0.0
2018-09-30,5.62,$-0.34,0.0
2018-06-30,7.55,$-0.22,0.0
2018-03-31,6.05,$-0.12,0.0
2017-12-31,6.67,$-0.03,0.0
2017-09-30,6.77,$0.05,124.21
2017-06-30,8.22,$0.16,51.92
2017-03-31,8.04,$0.15,52.45
2016-12-31,7.55,$0.23,33.03
2016-09-30,10.19,$0.18,55.16
2016-06-30,13.44,$0.10,134.4
2016-03-31,6.41,$0.13,51.22
2015-12-31,3.24,$-0.01,0.0
2015-09-30,3.17,$0.68,4.63
2015-06-30,4.78,$0.21,22.97
2015-03-31,5.35,$0.51,10.5
2014-12-31,4.97,$0.50,9.84
2014-09-30,7.72,$-0.33,0.0
2014-06-30,10.7,$0.08,130.63
2014-03-31,9.54,$-0.45,0.0
2013-12-31,9.7,$-0.38,0.0
2013-09-30,11.74,$-0.46,0.0
2013-06-30,10.48,$-0.48,0.0
2013-03-31,16.0,$-0.37,0.0
2012-12-31,19.98,$-0.33,0.0
2012-09-30,22.93,$-0.31,0.0
2012-06-30,14.3,$-0.17,0.0
2012-03-31,16.41,$0.12,139.65
2011-12-31,16.67,$0.30,55.61
2011-09-30,15.05,$0.87,17.26
2011-06-30,18.25,$0.85,21.52
2011-03-31,21.02,$0.65,32.3
2010-12-31,14.37,$0.42,34.46
2010-09-30,6.75,0,0.0
2010-06-30,3.99,0,0.0
2010-03-31,3.1,0,0.0
2009-12-31,3.9,0,0.0
