SeaStar Medical Holding Price to Free Cash Flow Ratio Historical Data,SeaStar Medical Holding Price to Free Cash Flow Ratio Historical Data,SeaStar Medical Holding Price to Free Cash Flow Ratio Historical Data,SeaStar Medical Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.06,,0.0
2024-09-30,4.26,$-7.40,0.0
2024-06-30,7.59,$-6.39,0.0
2024-03-31,0.73,$-8.76,0.0
2023-12-31,0.44,$-11.87,0.0
2023-09-30,0.26,$-22.36,0.0
2023-06-30,0.52,$-25.76,0.0
2023-03-31,1.86,$-26.11,0.0
2022-12-31,4.1,$-23.73,0.0
2022-09-30,10.28,$-22.67,0.0
2022-06-30,10.16,$-20.03,0.0
2022-03-31,10.12,$-16.83,0.0
2021-12-31,10.04,$-17.66,0.0
