AEye Price to Free Cash Flow Ratio Historical Data,AEye Price to Free Cash Flow Ratio Historical Data,AEye Price to Free Cash Flow Ratio Historical Data,AEye Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.69,,0.0
2024-12-31,1.27,$-3.73,0.0
2024-09-30,1.14,$-4.61,0.0
2024-06-30,1.95,$-5.43,0.0
2024-03-31,1.25,$-7.04,0.0
2023-12-31,2.29,$-8.99,0.0
2023-09-30,0.21,$-10.31,0.0
2023-06-30,0.18,$-13.46,0.0
2023-03-31,0.31,$-14.42,0.0
2022-12-31,0.48,$-14.46,0.0
2022-09-30,1.11,$-16.19,0.0
2022-06-30,1.91,$-16.78,0.0
2022-03-31,5.47,$7.61,0.72
2021-12-31,4.84,$-15.62,0.0
