GeoVax Labs Price to Free Cash Flow Ratio Historical Data,GeoVax Labs Price to Free Cash Flow Ratio Historical Data,GeoVax Labs Price to Free Cash Flow Ratio Historical Data,GeoVax Labs Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.35,,0.0
2024-09-30,2.41,$-8.09,0.0
2024-06-30,3.19,$-10.60,0.0
2024-03-31,2.0,$-14.14,0.0
2023-12-31,0.36,$-13.88,0.0
2023-09-30,0.51,$-17.63,0.0
2023-06-30,0.55,$-13.49,0.0
2023-03-31,0.67,$-9.80,0.0
2022-12-31,0.63,$-16.93,0.0
2022-09-30,1.09,$-24.60,0.0
2022-06-30,0.83,$-30.48,0.0
2022-03-31,1.15,$-32.35,0.0
2021-12-31,3.62,$-27.64,0.0
2021-09-30,4.32,$-19.08,0.0
2021-06-30,5.0,$-18.29,0.0
2021-03-31,4.38,$-13.08,0.0
2020-12-31,3.38,$-31.49,0.0
