Virtus Investment Partners Price to Free Cash Flow Ratio Historical Data,Virtus Investment Partners Price to Free Cash Flow Ratio Historical Data,Virtus Investment Partners Price to Free Cash Flow Ratio Historical Data,Virtus Investment Partners Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,176.95,,0.0
2024-12-31,220.58,$-0.53,0.0
2024-09-30,207.29,$14.75,14.06
2024-06-30,221.66,$21.93,10.11
2024-03-31,241.32,$31.95,7.55
2023-12-31,235.27,$30.96,7.6
2023-09-30,194.51,$26.89,7.23
2023-06-30,188.61,$25.74,7.33
2023-03-31,180.18,$21.39,8.42
2022-12-31,179.76,$16.63,10.81
2022-09-30,148.39,$50.01,2.97
2022-06-30,157.91,$57.50,2.75
2022-03-31,219.81,$53.37,4.12
2021-12-31,270.46,$82.46,3.28
2021-09-30,281.14,$71.63,3.92
2021-06-30,250.9,$57.87,4.34
2021-03-31,212.09,$23.90,8.88
2020-12-31,194.69,$-28.48,0.0
2020-09-30,123.76,$-39.60,0.0
2020-06-30,103.29,$-44.30,0.0
2020-03-31,67.08,$-36.38,0.0
2019-12-31,106.71,$-5.43,0.0
2019-09-30,96.34,$-9.87,0.0
2019-06-30,93.11,$-8.20,0.0
2019-03-31,84.2,$-4.31,0.0
2018-12-31,68.14,$-8.71,0.0
2018-09-30,97.03,$-25.37,0.0
2018-06-30,108.77,$-51.72,0.0
2018-03-31,104.83,$-30.64,0.0
2017-12-31,97.08,$-25.44,0.0
2017-09-30,97.55,$-9.65,0.0
2017-06-30,92.9,$3.92,23.71
2017-03-31,88.32,$4.70,18.79
2016-12-31,98.05,$2.42,40.59
2016-09-30,80.89,$-17.31,0.0
2016-06-30,58.52,$-17.62,0.0
2016-03-31,63.81,$-25.61,0.0
2015-12-31,95.5,$-23.90,0.0
2015-09-30,81.38,$-2.29,0.0
2015-06-30,106.68,$3.17,33.66
2015-03-31,105.15,$-5.87,0.0
2014-12-31,136.64,$-6.60,0.0
2014-09-30,138.86,$-11.01,0.0
2014-06-30,168.91,$-9.34,0.0
2014-03-31,138.14,$0.34,404.27
2013-12-31,159.58,$3.18,50.16
2013-09-30,129.74,$5.96,21.76
2013-06-30,140.61,$5.35,26.3
2013-03-31,148.6,$5.07,29.32
2012-12-31,96.47,$4.46,21.61
2012-09-30,68.6,$3.82,17.98
2012-06-30,64.61,$5.11,12.65
2012-03-31,68.43,$3.00,22.79
2011-12-31,60.63,$3.35,18.09
2011-09-30,42.77,$2.48,17.23
2011-06-30,48.42,$2.61,18.55
2011-03-31,47.0,$3.21,14.62
2010-12-31,36.19,$3.39,10.68
2010-09-30,24.14,$2.92,8.26
2010-06-30,14.93,$2.59,5.77
2010-03-31,16.62,$1.03,16.19
2009-12-31,12.68,$-2.15,0.0
