Consolidated Edison Inc Price to Free Cash Flow Ratio Historical Data,Consolidated Edison Inc Price to Free Cash Flow Ratio Historical Data,Consolidated Edison Inc Price to Free Cash Flow Ratio Historical Data,Consolidated Edison Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,108.48,,0.0
2024-12-31,89.23,$-4.70,0.0
2024-09-30,103.23,$-5.62,0.0
2024-06-30,87.93,$-6.22,0.0
2024-03-31,88.53,$-6.50,0.0
2023-12-31,87.85,$3.44,25.53
2023-09-30,81.86,$4.88,16.78
2023-06-30,85.73,$6.44,13.32
2023-03-31,89.97,$7.44,12.09
2022-12-31,88.84,$-1.60,0.0
2022-09-30,79.24,$-1.99,0.0
2022-06-30,87.19,$-0.74,0.0
2022-03-31,86.09,$-1.59,0.0
2021-12-31,76.83,$-2.62,0.0
2021-09-30,64.72,$-3.77,0.0
2021-06-30,63.31,$-6.06,0.0
2021-03-31,65.38,$-6.72,0.0
2020-12-31,62.47,$-6.02,0.0
2020-09-30,66.61,$-3.83,0.0
2020-06-30,60.95,$-2.82,0.0
2020-03-31,65.4,$-1.82,0.0
2019-12-31,75.24,$-1.38,0.0
2019-09-30,77.9,$-1.76,0.0
2019-06-30,71.69,$-1.63,0.0
2019-03-31,68.74,$-2.20,0.0
2018-12-31,61.4,$-3.38,0.0
2018-09-30,60.63,$-3.74,0.0
2018-06-30,61.5,$-2.94,0.0
2018-03-31,60.88,$-1.96,0.0
2017-12-31,65.75,$-0.94,0.0
2017-09-30,61.96,$-1.56,0.0
2017-06-30,61.56,$-0.65,0.0
2017-03-31,58.64,$-0.82,0.0
2016-12-31,55.13,$-0.58,0.0
2016-09-30,55.8,$0.38,147.73
2016-06-30,59.09,$-0.55,0.0
2016-03-31,55.78,$-0.83,0.0
2015-12-31,46.35,$0.01,3407.97
2015-09-30,47.71,$1.28,37.4
2015-06-30,40.91,$1.23,33.32
2015-03-31,42.66,$2.05,20.81
2014-12-31,45.7,$1.03,44.2
2014-09-30,38.85,$1.09,35.63
2014-06-30,39.15,$0.82,47.99
2014-03-31,35.96,$0.59,60.45
2013-12-31,36.62,$-0.69,0.0
2013-09-30,36.14,$-1.37,0.0
2013-06-30,37.83,$-0.70,0.0
2013-03-31,39.19,$-0.97,0.0
2012-12-31,35.28,$1.21,29.27
2012-09-30,37.64,$1.46,25.87
2012-06-30,38.71,$1.99,19.46
2012-03-31,36.0,$3.32,10.86
2011-12-31,37.83,$3.41,11.1
2011-09-30,34.42,$4.79,7.18
2011-06-30,31.79,$3.26,9.75
2011-03-31,29.95,$2.08,14.37
2010-12-31,28.92,$0.76,37.92
2010-09-30,27.79,$-1.02,0.0
2010-06-30,24.53,$-1.55,0.0
2010-03-31,25.02,$-1.68,0.0
2009-12-31,25.16,$0.38,65.6
