Cal-Maine Foods Price to Free Cash Flow Ratio Historical Data,Cal-Maine Foods Price to Free Cash Flow Ratio Historical Data,Cal-Maine Foods Price to Free Cash Flow Ratio Historical Data,Cal-Maine Foods Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,88.72,,9.13
2024-11-30,97.61,$9.71,10.05
2024-08-31,71.22,$8.04,8.86
2024-05-31,60.3,$6.23,9.68
2024-02-29,55.21,$5.09,10.86
2023-11-30,45.93,$9.21,4.99
2023-08-31,45.8,$11.85,3.86
2023-05-31,44.82,$14.89,3.01
2023-02-28,51.27,$14.39,3.56
2022-11-30,51.32,$7.75,6.62
2022-08-31,46.54,$4.79,9.71
2022-05-31,40.83,$1.12,36.52
2022-02-28,37.79,$-0.77,0.0
2021-11-30,30.78,$-0.85,0.0
2021-08-31,30.86,$-1.22,0.0
2021-05-31,29.8,$-1.35,0.0
2021-02-28,32.49,$0.54,60.17
2020-11-30,33.37,$0.64,52.38
2020-08-31,32.91,$-0.08,0.0
2020-05-31,38.0,$-0.97,0.0
2020-02-29,29.75,$-2.87,0.0
2019-11-30,37.12,$-2.09,0.0
2019-08-31,34.57,$-0.96,0.0
2019-05-31,31.57,$1.00,31.52
2019-02-28,37.36,$2.22,16.83
2018-11-30,39.44,$2.80,14.07
2018-08-31,41.67,$4.58,9.11
2018-05-31,40.18,$3.75,10.72
2018-02-28,35.62,$2.73,13.04
2017-11-30,41.6,$1.10,37.69
2017-08-31,30.48,$-1.47,0.0
2017-05-31,31.1,$-2.33,0.0
2017-02-28,31.73,$-1.59,0.0
2016-11-30,34.03,$-1.29,0.0
2016-08-31,38.41,$2.21,17.36
2016-05-31,37.21,$6.52,5.71
2016-02-29,44.24,$6.61,6.7
2015-11-30,44.48,$7.38,6.03
2015-08-31,42.6,$4.89,8.71
2015-05-31,45.2,$2.39,18.95
2015-02-28,29.75,$2.30,12.94
2014-11-30,32.89,$2.25,14.63
2014-08-31,30.92,$2.13,14.52
2014-05-31,27.11,$1.36,19.97
2014-02-28,20.23,$0.80,25.4
2013-11-30,21.0,$0.41,51.25
2013-08-31,17.41,$0.77,22.66
2013-05-31,17.07,$0.65,26.17
2013-02-28,15.3,$0.62,24.56
2012-11-30,17.29,$0.78,22.1
2012-08-31,15.06,$0.96,15.75
2012-05-31,13.15,$1.51,8.71
2012-02-29,14.09,$1.33,10.63
2011-11-30,12.29,$1.55,7.93
2011-08-31,11.77,$1.03,11.37
2011-05-31,10.77,$0.91,11.86
2011-02-28,10.26,$1.23,8.36
2010-11-30,10.82,$1.55,7.0
2010-08-31,10.45,$2.25,4.65
2010-05-31,11.29,$2.15,5.24
2010-02-28,11.03,$2.16,5.1
2009-11-30,9.39,$2.36,3.98
