Airgain Price to Free Cash Flow Ratio Historical Data,Airgain Price to Free Cash Flow Ratio Historical Data,Airgain Price to Free Cash Flow Ratio Historical Data,Airgain Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.15,,0.0
2024-12-31,7.06,$-0.34,0.0
2024-09-30,7.54,$-0.53,0.0
2024-06-30,6.04,$-0.37,0.0
2024-03-31,5.45,$-0.31,0.0
2023-12-31,3.56,$-0.35,0.0
2023-09-30,3.67,$0.07,50.62
2023-06-30,5.4,$-0.02,0.0
2023-03-31,5.37,$-0.18,0.0
2022-12-31,6.51,$0.36,17.95
2022-09-30,7.21,$-0.31,0.0
2022-06-30,8.12,$-0.41,0.0
2022-03-31,7.58,$-0.42,0.0
2021-12-31,10.63,$-1.19,0.0
2021-09-30,12.61,$-0.73,0.0
2021-06-30,20.62,$-0.39,0.0
2021-03-31,21.19,$0.04,479.41
2020-12-31,17.78,$0.31,58.01
2020-09-30,13.34,$0.43,30.87
2020-06-30,10.74,$0.23,46.82
2020-03-31,7.39,$0.11,65.34
2019-12-31,10.69,$0.11,93.53
2019-09-30,11.75,$0.22,53.26
2019-06-30,14.15,$0.26,54.59
2019-03-31,12.83,$0.18,70.26
2018-12-31,9.91,$0.04,244.09
2018-09-30,13.14,$-0.13,0.0
2018-06-30,9.19,$-0.08,0.0
2018-03-31,7.74,$0.02,358.33
2017-12-31,8.99,$-0.05,0.0
2017-09-30,9.09,$0.57,15.91
2017-06-30,14.18,$0.74,19.24
