Colgate-Palmolive Price to Free Cash Flow Ratio Historical Data,Colgate-Palmolive Price to Free Cash Flow Ratio Historical Data,Colgate-Palmolive Price to Free Cash Flow Ratio Historical Data,Colgate-Palmolive Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,90.28,,20.96
2024-12-31,90.91,$4.31,21.1
2024-09-30,103.3,$4.12,25.08
2024-06-30,96.07,$4.06,23.64
2024-03-31,88.64,$3.65,24.28
2023-12-31,78.0,$3.67,21.27
2023-09-30,69.13,$3.08,22.46
2023-06-30,74.43,$2.88,25.87
2023-03-31,72.15,$2.65,27.25
2022-12-31,75.18,$2.27,33.07
2022-09-30,66.58,$2.81,23.72
2022-06-30,75.49,$2.82,26.77
2022-03-31,71.02,$2.99,23.77
2021-12-31,79.5,$3.25,24.45
2021-09-30,69.99,$3.12,22.42
2021-06-30,74.92,$3.11,24.09
2021-03-31,72.2,$3.63,19.9
2020-12-31,77.88,$3.85,20.22
2020-09-30,69.88,$3.91,17.88
2020-06-30,65.97,$3.87,17.03
2020-03-31,59.4,$3.43,17.32
2019-12-31,61.25,$3.25,18.85
2019-09-30,64.98,$3.10,20.96
2019-06-30,62.99,$3.04,20.69
2019-03-31,59.87,$3.05,19.6
2018-12-31,51.64,$3.00,17.21
2018-09-30,57.69,$2.86,20.18
2018-06-30,55.49,$2.90,19.17
2018-03-31,61.01,$2.79,21.84
2017-12-31,63.89,$2.87,22.29
2017-09-30,61.35,$2.85,21.5
2017-06-30,62.08,$2.92,21.25
2017-03-31,60.96,$2.99,20.41
2016-12-31,54.19,$2.90,18.67
2016-09-30,61.06,$2.88,21.19
2016-06-30,59.97,$2.65,22.65
2016-03-31,57.56,$2.39,24.11
2015-12-31,53.96,$2.49,21.65
2015-09-30,51.11,$2.54,20.16
2015-06-30,52.38,$2.65,19.78
2015-03-31,55.22,$2.73,20.2
2014-12-31,54.82,$2.78,19.75
2014-09-30,51.38,$2.69,19.08
2014-06-30,53.43,$2.72,19.61
2014-03-31,50.57,$2.69,18.79
2013-12-31,50.56,$2.71,18.64
2013-09-30,45.73,$2.96,15.46
2013-06-30,43.93,$2.92,15.04
2013-03-31,45.0,$2.92,15.43
2012-12-31,39.63,$2.82,14.08
2012-09-30,40.41,$2.59,15.62
2012-06-30,39.0,$2.77,14.1
2012-03-31,36.41,$2.68,13.58
2011-12-31,34.18,$2.66,12.83
2011-09-30,32.6,$2.77,11.79
2011-06-30,31.93,$2.52,12.67
2011-03-31,29.29,$2.62,11.16
2010-12-31,28.95,$2.65,10.94
2010-09-30,27.5,$2.55,10.78
2010-06-30,28.0,$2.70,10.35
2010-03-31,30.12,$2.63,11.44
2009-12-31,28.86,$2.59,11.14
