Univest Of Pennsylvania Price to Free Cash Flow Ratio Historical Data,Univest Of Pennsylvania Price to Free Cash Flow Ratio Historical Data,Univest Of Pennsylvania Price to Free Cash Flow Ratio Historical Data,Univest Of Pennsylvania Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,28.72,,11.71
2024-12-31,29.51,$2.45,12.04
2024-09-30,27.96,$2.42,11.57
2024-06-30,22.5,$1.81,12.41
2024-03-31,20.32,$2.55,7.96
2023-12-31,21.28,$2.82,7.55
2023-09-30,16.59,$2.74,6.05
2023-06-30,17.08,$2.80,6.09
2023-03-31,22.14,$3.37,6.57
2022-12-31,24.2,$3.53,6.86
2022-09-30,21.58,$3.87,5.58
2022-06-30,23.19,$3.67,6.32
2022-03-31,24.19,$3.32,7.28
2021-12-31,26.87,$3.51,7.66
2021-09-30,24.44,$2.52,9.71
2021-06-30,23.36,$2.63,8.88
2021-03-31,25.15,$2.27,11.08
2020-12-31,17.96,$1.66,10.79
2020-09-30,12.54,$2.08,6.02
2020-06-30,13.92,$2.16,6.44
2020-03-31,13.9,$2.18,6.37
2019-12-31,22.57,$2.39,9.43
2019-09-30,21.35,$2.60,8.2
2019-06-30,21.8,$2.66,8.2
2019-03-31,20.14,$2.81,7.17
2018-12-31,17.76,$2.81,6.32
2018-09-30,21.78,$2.94,7.41
2018-06-30,22.48,$2.58,8.72
2018-03-31,22.49,$2.49,9.03
2017-12-31,22.61,$2.57,8.79
2017-09-30,25.62,$2.03,12.61
2017-06-30,23.81,$1.55,15.32
2017-03-31,20.45,$1.36,14.99
2016-12-31,24.22,$0.94,25.78
2016-09-30,18.19,$0.93,19.53
2016-06-30,16.22,$1.66,9.76
2016-03-31,14.91,$1.76,8.45
2015-12-31,15.78,$1.71,9.21
2015-09-30,14.4,$1.61,8.95
2015-06-30,15.1,$1.17,12.86
2015-03-31,14.52,$1.01,14.42
2014-12-31,14.7,$1.56,9.45
2014-09-30,13.48,$1.48,9.13
2014-06-30,14.73,$2.16,6.83
2014-03-31,14.46,$2.62,5.51
2013-12-31,14.43,$2.03,7.11
2013-09-30,13.02,$2.94,4.43
2013-06-30,13.04,$2.11,6.19
2013-03-31,11.78,$2.09,5.64
2012-12-31,11.43,$2.35,4.86
2012-09-30,11.89,$1.95,6.09
2012-06-30,10.79,$2.37,4.56
2012-03-31,10.82,$1.55,7.0
2011-12-31,9.32,$2.57,3.62
2011-09-30,8.37,$2.60,3.22
2011-06-30,9.66,$2.44,3.96
2011-03-31,10.82,$3.26,3.32
2010-12-31,11.56,$2.03,5.69
2010-09-30,10.43,$0.97,10.72
2010-06-30,10.22,$0.70,14.7
2010-03-31,10.91,$1.21,9.0
2009-12-31,10.13,$1.20,8.42
