CPI Card Group Price to Free Cash Flow Ratio Historical Data,CPI Card Group Price to Free Cash Flow Ratio Historical Data,CPI Card Group Price to Free Cash Flow Ratio Historical Data,CPI Card Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,28.97,,10.1
2024-12-31,29.89,$2.87,10.43
2024-09-30,27.83,$2.00,13.92
2024-06-30,27.25,$2.12,12.85
2024-03-31,17.86,$2.62,6.82
2023-12-31,19.19,$2.32,8.28
2023-09-30,18.52,$2.75,6.74
2023-06-30,23.25,$2.85,8.15
2023-03-31,45.01,$3.10,14.51
2022-12-31,36.08,$1.15,31.47
2022-09-30,15.76,$-0.19,0.0
2022-06-30,16.8,$-2.15,0.0
2022-03-31,14.5,$-0.56,0.0
2021-12-31,18.55,$0.86,21.49
2021-09-30,34.72,$1.54,22.56
2021-06-30,0.8,$2.02,0.39
2021-03-31,0.8,$0.93,0.86
2020-12-31,0.8,$1.33,0.6
2020-09-30,0.8,$1.05,0.76
2020-06-30,0.8,$1.13,0.71
2020-03-31,0.8,$1.18,0.68
2019-12-31,0.9,$-0.12,0.0
2019-09-30,2.59,$0.12,20.75
2019-06-30,2.5,$-0.10,0.0
2019-03-31,3.42,$-1.07,0.0
2018-12-31,2.29,$-0.19,0.0
2018-09-30,3.39,$-0.12,0.0
2018-06-30,2.0,$0.21,9.59
2018-03-31,3.02,$0.09,33.17
2017-12-31,3.67,$-0.44,0.0
2017-09-30,5.9,$0.41,14.52
2017-06-30,14.25,$0.68,21.03
2017-03-31,20.61,$2.17,9.49
2016-12-31,20.17,$4.06,4.96
2016-09-30,29.0,$5.29,5.49
