M&T Bank Price to Free Cash Flow Ratio Historical Data,M&T Bank Price to Free Cash Flow Ratio Historical Data,M&T Bank Price to Free Cash Flow Ratio Historical Data,M&T Bank Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,176.91,,8.72
2024-12-31,188.01,$20.28,9.27
2024-09-30,177.01,$14.98,11.82
2024-06-30,149.24,$23.43,6.37
2024-03-31,143.41,$23.06,6.22
2023-12-31,133.89,$21.85,6.13
2023-09-30,122.27,$24.33,5.03
2023-06-30,118.44,$22.67,5.22
2023-03-31,113.19,$19.00,5.96
2022-12-31,136.16,$26.58,5.12
2022-09-30,164.34,$24.82,6.62
2022-06-30,147.59,$21.81,6.77
2022-03-31,155.91,$22.23,7.01
2021-12-31,140.35,$19.92,7.05
2021-09-30,135.4,$19.78,6.84
2021-06-30,130.72,$16.04,8.15
2021-03-31,135.46,$15.72,8.62
2020-12-31,112.92,$4.79,23.56
2020-09-30,80.92,$7.88,10.27
2020-06-30,90.4,$13.57,6.66
2020-03-31,89.0,$10.00,8.9
2019-12-31,144.94,$16.21,8.94
2019-09-30,133.98,$11.79,11.36
2019-06-30,143.27,$13.42,10.68
2019-03-31,131.45,$13.41,9.8
2018-12-31,119.13,$13.82,8.62
2018-09-30,136.15,$14.87,9.16
2018-06-30,140.0,$10.79,12.97
2018-03-31,150.99,$12.75,11.85
2017-12-31,139.49,$17.72,7.87
2017-09-30,130.79,$13.59,9.62
2017-06-30,130.87,$13.23,9.89
2017-03-31,124.45,$12.28,10.13
2016-12-31,125.25,$6.84,18.32
2016-09-30,92.51,$9.49,9.75
2016-06-30,93.65,$11.93,7.85
2016-03-31,87.41,$11.41,7.66
2015-12-31,94.81,$12.07,7.85
2015-09-30,94.88,$11.34,8.37
2015-06-30,96.63,$8.52,11.34
2015-03-31,97.67,$7.01,13.93
2014-12-31,96.05,$7.78,12.34
2014-09-30,93.75,$8.47,11.07
2014-06-30,93.8,$5.03,18.65
2014-03-31,91.19,$5.05,18.07
2013-12-31,86.99,$6.19,14.04
2013-09-30,83.13,$3.21,25.91
2013-06-30,82.49,$2.92,28.22
2013-03-31,75.65,$4.39,17.22
2012-12-31,71.72,$3.23,22.2
2012-09-30,68.82,$7.07,9.74
2012-06-30,59.24,$11.66,5.08
2012-03-31,61.79,$11.61,5.32
2011-12-31,53.83,$13.83,3.89
2011-09-30,48.79,$13.34,3.66
2011-06-30,60.83,$11.97,5.08
2011-03-31,60.7,$14.43,4.21
2010-12-31,59.25,$13.51,4.39
2010-09-30,55.19,$11.09,4.98
2010-06-30,56.83,$14.81,3.84
2010-03-31,52.66,$14.70,3.58
2009-12-31,43.98,$9.85,4.47
