Vigil Neuroscience Price to Free Cash Flow Ratio Historical Data,Vigil Neuroscience Price to Free Cash Flow Ratio Historical Data,Vigil Neuroscience Price to Free Cash Flow Ratio Historical Data,Vigil Neuroscience Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.84,,0.0
2024-12-31,1.7,$-1.26,0.0
2024-09-30,3.4,$-1.22,0.0
2024-06-30,4.0,$-1.77,0.0
2024-03-31,3.41,$-1.80,0.0
2023-12-31,3.38,$-1.84,0.0
2023-09-30,5.39,$-2.05,0.0
2023-06-30,9.4,$-1.92,0.0
2023-03-31,9.79,$-1.99,0.0
2022-12-31,12.5,$-2.09,0.0
