NRx Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,NRx Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,NRx Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,NRx Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.07,,0.0
2024-12-31,2.2,$-1.00,0.0
2024-09-30,1.69,$-1.38,0.0
2024-06-30,2.44,$-1.55,0.0
2024-03-31,4.72,$-2.36,0.0
2023-12-31,4.6,$-2.86,0.0
2023-09-30,2.6,$-3.57,0.0
2023-06-30,4.84,$-4.11,0.0
2023-03-31,6.59,$-5.33,0.0
2022-12-31,11.1,$-6.05,0.0
2022-09-30,7.4,$-7.66,0.0
2022-06-30,6.0,$-8.48,0.0
2022-03-31,24.5,$-8.82,0.0
2021-12-31,47.8,$-8.04,0.0
2021-09-30,92.7,$-5.23,0.0
2021-06-30,116.2,$-3.85,0.0
2021-03-31,354.2,$-1.24,0.0
2020-12-31,244.0,$-0.66,0.0
2020-09-30,107.3,$-1.50,0.0
2020-06-30,105.0,$-1.34,0.0
2020-03-31,107.7,$-2.02,0.0
2019-12-31,106.0,$-2.85,0.0
2019-09-30,105.8,$-2.17,0.0
2019-06-30,105.3,$-2.24,0.0
2019-03-31,103.3,$-2.14,0.0
2018-12-31,102.0,$-1.81,0.0
2018-09-30,100.1,$-1.53,0.0
