Webster Financial Price to Free Cash Flow Ratio Historical Data,Webster Financial Price to Free Cash Flow Ratio Historical Data,Webster Financial Price to Free Cash Flow Ratio Historical Data,Webster Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,51.52,,6.37
2024-12-31,55.22,$8.09,6.83
2024-09-30,46.25,$3.42,13.51
2024-06-30,42.89,$5.67,7.57
2024-03-31,49.52,$5.76,8.59
2023-12-31,49.1,$5.54,8.86
2023-09-30,38.6,$6.84,5.65
2023-06-30,35.84,$6.80,5.27
2023-03-31,36.98,$7.55,4.9
2022-12-31,44.1,$7.80,5.65
2022-09-30,41.78,$8.43,4.96
2022-06-30,38.63,$7.64,5.05
2022-03-31,50.98,$6.41,7.95
2021-12-31,50.39,$7.49,6.73
2021-09-30,48.81,$7.40,6.6
2021-06-30,47.4,$6.99,6.78
2021-03-31,48.62,$7.21,6.74
2020-12-31,36.89,$3.99,9.24
2020-09-30,22.88,$3.44,6.64
2020-06-30,24.42,$2.43,10.04
2020-03-31,19.24,$1.91,10.08
2019-12-31,44.45,$3.03,14.68
2019-09-30,38.72,$0.86,44.79
2019-06-30,39.14,$3.15,12.44
2019-03-31,41.52,$3.75,11.07
2018-12-31,40.14,$4.74,8.47
2018-09-30,47.75,$6.54,7.3
2018-06-30,51.33,$5.33,9.64
2018-03-31,44.41,$4.46,9.97
2017-12-31,44.8,$4.55,9.86
2017-09-30,41.72,$5.30,7.87
2017-06-30,41.25,$4.88,8.46
2017-03-31,39.33,$5.37,7.32
2016-12-31,42.46,$3.91,10.87
2016-09-30,29.55,$2.94,10.05
2016-06-30,26.21,$2.77,9.45
2016-03-31,27.52,$2.63,10.47
2015-12-31,28.31,$2.92,9.69
2015-09-30,26.96,$2.10,12.83
2015-06-30,29.75,$2.41,12.37
2015-03-31,27.69,$2.09,13.26
2014-12-31,24.17,$2.39,10.12
2014-09-30,21.51,$2.86,7.53
2014-06-30,23.12,$3.21,7.2
2014-03-31,22.62,$4.81,4.71
2013-12-31,22.59,$4.91,4.6
2013-09-30,18.4,$4.71,3.91
2013-06-30,18.4,$4.30,4.28
2013-03-31,17.27,$2.94,5.88
2012-12-31,14.57,$2.58,5.64
2012-09-30,16.72,$1.94,8.62
2012-06-30,15.21,$1.75,8.69
2012-03-31,15.84,$1.89,8.36
2011-12-31,14.22,$2.63,5.41
2011-09-30,10.64,$3.14,3.39
2011-06-30,14.58,$3.60,4.05
2011-03-31,14.83,$6.41,2.31
2010-12-31,13.63,$3.88,3.51
2010-09-30,12.14,$3.30,3.68
2010-06-30,12.4,$4.06,3.06
2010-03-31,12.08,$-0.33,0.0
2009-12-31,8.19,$1.29,6.36
