Houston American Energy Price to Free Cash Flow Ratio Historical Data,Houston American Energy Price to Free Cash Flow Ratio Historical Data,Houston American Energy Price to Free Cash Flow Ratio Historical Data,Houston American Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.08,,0.0
2024-12-31,1.29,$-0.14,0.0
2024-09-30,1.1,$-0.01,0.0
2024-06-30,1.29,$0.05,24.57
2024-03-31,1.33,$0.03,39.23
2023-12-31,1.79,$0.02,73.36
2023-09-30,1.95,$0.02,123.42
2023-06-30,2.13,$-0.04,0.0
2023-03-31,2.59,$-0.01,0.0
2022-12-31,3.44,$-0.02,0.0
2022-09-30,3.46,$-0.03,0.0
2022-06-30,4.59,$-0.02,0.0
2022-03-31,4.44,$-0.04,0.0
2021-12-31,1.43,$-0.07,0.0
2021-09-30,2.28,$-0.11,0.0
2021-06-30,2.48,$-0.24,0.0
2021-03-31,2.02,$-0.26,0.0
2020-12-31,1.75,$-0.34,0.0
2020-09-30,1.94,$-0.55,0.0
2020-06-30,1.75,$-0.34,0.0
2020-03-31,1.49,$-0.35,0.0
2019-12-31,1.83,$-0.27,0.0
2019-09-30,2.26,$-0.03,0.0
2019-06-30,2.54,$-0.09,0.0
2019-03-31,2.74,$-0.06,0.0
2018-12-31,2.37,$-0.03,0.0
2018-09-30,2.75,$-0.27,0.0
2018-06-30,3.8,$-0.74,0.0
2018-03-31,3.91,$-1.12,0.0
2017-12-31,4.13,$-1.42,0.0
2017-09-30,6.25,$-1.27,0.0
2017-06-30,9.38,$-0.89,0.0
2017-03-31,3.38,$-0.62,0.0
2016-12-31,2.23,$-0.37,0.0
2016-09-30,2.44,$-0.36,0.0
2016-06-30,2.78,$-0.34,0.0
2016-03-31,2.63,$-0.39,0.0
2015-12-31,2.14,$-0.48,0.0
2015-09-30,2.21,$-0.63,0.0
2015-06-30,2.5,$-0.74,0.0
2015-03-31,2.5,$-1.00,0.0
2014-12-31,2.01,$-1.23,0.0
2014-09-30,3.81,$-1.23,0.0
2014-06-30,5.75,$-1.18,0.0
2014-03-31,6.88,$-0.48,0.0
2013-12-31,3.13,$-0.31,0.0
2013-09-30,3.63,$-1.65,0.0
2013-06-30,3.38,$-3.18,0.0
2013-03-31,2.74,$-6.46,0.0
2012-12-31,2.75,$-8.90,0.0
2012-09-30,11.25,$-9.69,0.0
2012-06-30,14.0,$-9.49,0.0
2012-03-31,65.25,$-8.00,0.0
2011-12-31,152.38,$-7.19,0.0
2011-09-30,172.0,$5.41,31.79
2011-06-30,226.63,$7.38,30.7
2011-03-31,192.63,$9.03,21.32
2010-12-31,226.13,$9.97,22.68
2010-09-30,123.47,$-1.50,0.0
2010-06-30,121.67,$-2.03,0.0
2010-03-31,223.86,$-3.37,0.0
2009-12-31,75.95,$-3.70,0.0
