NovaBay Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,NovaBay Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,NovaBay Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,NovaBay Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.62,,0.0
2024-09-30,0.69,$-9.03,0.0
2024-06-30,2.21,$-4.33,0.0
2024-03-31,3.66,$-16.04,0.0
2023-12-31,7.14,$-34.43,0.0
2023-09-30,15.75,$-52.33,0.0
2023-06-30,26.33,$-91.01,0.0
2023-03-31,59.5,$-116.71,0.0
2022-12-31,68.25,$-146.94,0.0
2022-09-30,134.75,$-246.48,0.0
2022-06-30,306.25,$-248.47,0.0
2022-03-31,362.97,$-267.79,0.0
2021-12-31,461.34,$-259.20,0.0
2021-09-30,787.06,$-199.11,0.0
2021-06-30,822.47,$-187.37,0.0
2021-03-31,1114.75,$-169.91,0.0
2020-12-31,853.83,$-165.45,0.0
2020-09-30,894.25,$-205.85,0.0
2020-06-30,1408.75,$-196.03,0.0
2020-03-31,734.63,$-255.42,0.0
2019-12-31,784.0,$-449.00,0.0
2019-09-30,747.74,$-489.75,0.0
2019-06-30,2070.25,$-593.16,0.0
2019-03-31,1470.0,$-599.42,0.0
2018-12-31,946.56,$-402.21,0.0
2018-09-30,2327.5,$-490.52,0.0
2018-06-30,3062.5,$-356.52,0.0
2018-03-31,4226.25,$-388.69,0.0
2017-12-31,4716.25,$-519.69,0.0
2017-09-30,5635.0,$-530.65,0.0
2017-06-30,4716.25,$-578.64,0.0
2017-03-31,4679.62,$-220.53,0.0
2016-12-31,4042.5,"$-1,536.12",0.0
2016-09-30,5022.5,"$-3,657.25",0.0
2016-06-30,3062.5,"$-4,877.10",0.0
2016-03-31,2572.5,"$-9,666.39",0.0
2015-12-31,2474.5,"$-8,187.69",0.0
2015-09-30,8884.31,"$-5,828.22",0.0
2015-06-30,18987.5,"$-4,577.35",0.0
2015-03-31,21131.25,$-9.53,0.0
2014-12-31,19293.75,$-7.56,0.0
2014-09-30,25725.0,$-8.59,0.0
2014-06-30,24193.75,$-8.59,0.0
2014-03-31,35831.25,$-8.59,0.0
2013-12-31,37668.75,$-8.59,0.0
2013-09-30,52671.94,$-0.33,0.0
2013-06-30,42262.5,$-0.26,0.0
2013-03-31,42875.0,$-0.23,0.0
2012-12-31,34606.25,$-0.23,0.0
2012-09-30,37056.25,$-0.15,0.0
2012-06-30,38587.5,$-0.11,0.0
2012-03-31,41956.25,$-0.22,0.0
2011-12-31,41037.5,$-0.13,0.0
2011-09-30,26760.12,$-0.01,0.0
2011-06-30,32768.75,$-0.07,0.0
2011-03-31,68906.25,$-0.04,0.0
2010-12-31,50837.5,$0.08,649265.63
2010-09-30,54383.87,$-0.02,0.0
2010-06-30,65813.12,$-0.04,0.0
2010-03-31,67375.0,$-0.03,0.0
2009-12-31,63087.5,$-0.10,0.0
