Koss Price to Free Cash Flow Ratio Historical Data,Koss Price to Free Cash Flow Ratio Historical Data,Koss Price to Free Cash Flow Ratio Historical Data,Koss Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.07,,0.0
2024-12-31,7.38,$-0.04,0.0
2024-09-30,7.39,$0.02,309.21
2024-06-30,4.45,$-0.07,0.0
2024-03-31,2.57,$-0.11,0.0
2023-12-31,3.35,$-0.13,0.0
2023-09-30,2.96,$-0.21,0.0
2023-06-30,3.7,$1.09,3.39
2023-03-31,4.62,$1.12,4.13
2022-12-31,4.95,$1.08,4.58
2022-09-30,6.35,$1.19,5.33
2022-06-30,6.95,$-0.11,0.0
2022-03-31,9.16,$0.02,535.67
2021-12-31,10.68,$-0.13,0.0
2021-09-30,16.35,$-0.08,0.0
2021-06-30,23.22,$-0.03,0.0
2021-03-31,22.49,$0.07,313.67
2020-12-31,3.44,$0.23,15.24
2020-09-30,2.14,$0.23,9.22
2020-06-30,1.36,$0.19,7.31
2020-03-31,0.88,$-0.07,0.0
2019-12-31,1.54,$0.01,119.38
2019-09-30,2.0,$-0.03,0.0
2019-06-30,2.0,$0.17,12.11
2019-03-31,2.06,$0.17,12.42
2018-12-31,1.91,$0.25,7.59
2018-09-30,2.82,$0.21,13.68
2018-06-30,2.35,$0.11,22.23
2018-03-31,1.78,$0.13,13.88
2017-12-31,3.09,$-0.03,0.0
2017-09-30,1.5,$-0.01,0.0
2017-06-30,1.81,$-0.02,0.0
2017-03-31,2.12,$-0.00,0.0
2016-12-31,2.28,$-0.16,0.0
2016-09-30,2.16,$0.11,19.7
2016-06-30,2.03,$-0.02,0.0
2016-03-31,2.13,$0.00,0.0
2015-12-31,2.0,$0.20,9.77
2015-09-30,2.21,$0.15,15.04
2015-06-30,2.31,$-0.09,0.0
2015-03-31,2.26,$-0.14,0.0
2014-12-31,1.75,$-0.14,0.0
2014-09-30,2.06,$-0.55,0.0
2014-06-30,3.19,$0.41,7.71
2014-03-31,4.99,$0.57,8.79
2013-12-31,5.04,$0.74,6.85
2013-09-30,4.97,$1.15,4.34
2013-06-30,4.8,$0.38,12.48
2013-03-31,4.87,$0.56,8.63
2012-12-31,4.47,$0.55,8.12
2012-09-30,4.64,$0.58,8.06
2012-06-30,4.9,$0.62,7.94
2012-03-31,4.91,$0.73,6.76
2011-12-31,4.49,$0.47,9.64
2011-09-30,5.23,$0.42,12.44
2011-06-30,5.45,$0.40,13.76
2011-03-31,6.45,$0.50,12.87
2010-12-31,4.31,$0.78,5.53
2010-09-30,4.63,$0.39,11.78
2010-06-30,4.5,$0.03,179.39
2010-03-31,4.74,$-0.41,0.0
2009-12-31,4.55,$-0.46,0.0
