Becton Dickinson Price to Free Cash Flow Ratio Historical Data,Becton Dickinson Price to Free Cash Flow Ratio Historical Data,Becton Dickinson Price to Free Cash Flow Ratio Historical Data,Becton Dickinson Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,231.85,,22.72
2024-12-31,226.87,$10.21,22.23
2024-09-30,239.98,$10.72,22.39
2024-06-30,231.7,$11.28,20.55
2024-03-31,244.35,$10.51,23.25
2023-12-31,239.82,$9.20,26.06
2023-09-30,253.24,$7.34,34.52
2023-06-30,257.73,$6.06,42.55
2023-03-31,240.78,$4.45,54.09
2022-12-31,246.39,$4.67,52.74
2022-09-30,215.11,$5.21,41.26
2022-06-30,237.19,$4.25,55.81
2022-03-31,248.74,$3.91,63.57
2021-12-31,234.4,$6.86,34.18
2021-09-30,228.31,$10.04,22.74
2021-06-30,225.16,$11.27,19.99
2021-03-31,224.34,$12.33,18.19
2020-12-31,230.08,$10.10,22.77
2020-09-30,213.21,$7.68,27.77
2020-06-30,218.51,$8.80,24.82
2020-03-31,209.17,$9.08,23.02
2019-12-31,246.74,$10.32,23.92
2019-09-30,228.79,$8.64,26.49
2019-06-30,227.27,$8.86,25.66
2019-03-31,224.48,$7.57,29.67
2018-12-31,201.91,$7.11,28.39
2018-09-30,233.12,$7.44,31.31
2018-06-30,213.34,$7.36,28.97
2018-03-31,192.36,$6.97,27.6
2017-12-31,189.38,$7.84,24.16
2017-09-30,172.76,$8.15,21.19
2017-06-30,171.39,$6.25,27.44
2017-03-31,160.53,$8.58,18.7
2016-12-31,144.3,$7.99,18.06
2016-09-30,155.97,$8.58,18.18
2016-06-30,146.63,$9.16,16.01
2016-03-31,130.75,$7.76,16.85
2015-12-31,132.11,$6.11,21.61
2015-09-30,113.26,$5.46,20.72
2015-06-30,120.39,$4.30,27.98
2015-03-31,121.52,$4.11,29.6
2014-12-31,117.29,$5.21,22.53
2014-09-30,95.51,$5.53,17.28
2014-06-30,98.82,$6.84,14.44
2014-03-31,97.35,$6.73,14.46
2013-12-31,91.44,$6.21,14.73
2013-09-30,82.36,$5.67,14.53
2013-06-30,80.97,$4.72,17.16
2013-03-31,77.94,$5.45,14.31
2012-12-31,63.38,$5.27,12.03
2012-09-30,63.27,$5.45,11.61
2012-06-30,59.85,$5.03,11.9
2012-03-31,61.79,$4.05,15.25
2011-12-31,59.11,$3.83,15.42
2011-09-30,57.64,$4.59,12.55
2011-06-30,67.4,$4.35,15.51
2011-03-31,61.98,$4.59,13.49
2010-12-31,65.46,$4.63,14.13
2010-09-30,57.1,$4.00,14.27
2010-06-30,51.83,$4.39,11.82
2010-03-31,60.03,$4.43,13.55
2009-12-31,59.84,$4.87,12.28
