TEGNA Price to Free Cash Flow Ratio Historical Data,TEGNA Price to Free Cash Flow Ratio Historical Data,TEGNA Price to Free Cash Flow Ratio Historical Data,TEGNA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,18.78,,5.02
2024-12-31,18.29,$3.74,4.89
2024-09-30,15.68,$3.08,5.09
2024-06-30,13.72,$2.11,6.49
2024-03-31,14.7,$2.35,6.26
2023-12-31,14.94,$2.56,5.83
2023-09-30,14.23,$2.76,5.15
2023-06-30,15.74,$3.09,5.1
2023-03-31,16.3,$3.28,4.97
2022-12-31,20.3,$3.39,5.99
2022-09-30,19.72,$3.06,6.44
2022-06-30,19.91,$2.79,7.13
2022-03-31,21.18,$2.56,8.26
2021-12-31,17.48,$1.91,9.14
2021-09-30,18.48,$2.61,7.07
2021-06-30,17.49,$2.90,6.03
2021-03-31,17.46,$2.91,6.0
2020-12-31,12.89,$3.46,3.73
2020-09-30,10.8,$2.42,4.47
2020-06-30,10.18,$1.91,5.32
2020-03-31,9.87,$1.60,6.17
2019-12-31,15.09,$0.96,15.73
2019-09-30,13.98,$1.51,9.28
2019-06-30,13.58,$1.88,7.22
2019-03-31,12.58,$2.05,6.12
2018-12-31,9.65,$2.13,4.53
2018-09-30,10.56,$1.49,7.08
2018-06-30,9.52,$1.16,8.18
2018-03-31,9.93,$1.06,9.34
2017-12-31,12.21,$1.44,8.5
2017-09-30,11.5,$2.21,5.21
2017-06-30,12.37,$2.69,4.6
2017-03-31,13.95,$2.72,5.12
2016-12-31,11.58,$2.66,4.36
2016-09-30,11.76,$2.25,5.24
2016-06-30,12.39,$2.06,6.02
2016-03-31,12.47,$2.19,5.7
2015-12-31,13.49,$2.37,5.7
2015-09-30,11.77,$2.83,4.16
2015-06-30,16.76,$2.90,5.78
2015-03-31,15.64,$3.07,5.1
2014-12-31,13.39,$3.02,4.44
2014-09-30,12.37,$2.62,4.72
2014-06-30,12.98,$2.26,5.74
2014-03-31,11.36,$2.26,5.03
2013-12-31,12.09,$1.72,7.01
2013-09-30,10.88,$2.14,5.09
2013-06-30,9.87,$2.38,4.15
2013-03-31,8.75,$2.30,3.81
2012-12-31,7.15,$2.81,2.55
2012-09-30,6.99,$2.62,2.67
2012-06-30,5.74,$2.65,2.17
2012-03-31,5.9,$2.78,2.12
2011-12-31,5.08,$3.06,1.66
2011-09-30,3.61,$2.53,1.43
2011-06-30,5.39,$2.75,1.96
2011-03-31,5.71,$2.60,2.19
2010-12-31,5.65,$2.91,1.94
2010-09-30,4.57,$3.66,1.25
2010-06-30,5.02,$3.58,1.4
2010-03-31,6.14,$3.88,1.58
2009-12-31,5.51,$3.38,1.63
