World Acceptance Price to Free Cash Flow Ratio Historical Data,World Acceptance Price to Free Cash Flow Ratio Historical Data,World Acceptance Price to Free Cash Flow Ratio Historical Data,World Acceptance Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,125.1,,2.88
2024-12-31,112.44,$43.47,2.59
2024-09-30,117.98,$42.23,2.79
2024-06-30,123.58,$43.03,2.87
2024-03-31,144.98,$44.39,3.27
2023-12-31,130.53,$44.44,2.94
2023-09-30,127.06,$45.39,2.8
2023-06-30,134.01,$48.46,2.77
2023-03-31,83.29,$48.53,1.72
2022-12-31,65.94,$50.86,1.3
2022-09-30,96.82,$49.08,1.97
2022-06-30,112.24,$44.39,2.53
2022-03-31,191.84,$41.90,4.58
2021-12-31,245.43,$38.78,6.33
2021-09-30,189.58,$37.06,5.12
2021-06-30,160.24,$32.63,4.91
2021-03-31,129.76,$32.32,4.02
2020-12-31,102.22,$30.43,3.36
2020-09-30,105.55,$31.59,3.34
2020-06-30,65.52,$34.76,1.89
2020-03-31,54.61,$33.95,1.61
2019-12-31,86.4,$31.13,2.78
2019-09-30,127.51,$29.60,4.31
2019-06-30,164.11,$26.14,6.28
2019-03-31,117.13,$25.57,4.58
2018-12-31,102.26,$24.77,4.13
2018-09-30,114.36,$22.99,4.97
2018-06-30,111.01,$23.65,4.69
2018-03-31,105.3,$23.35,4.51
2017-12-31,80.72,$22.56,3.58
2017-09-30,82.89,$23.06,3.59
2017-06-30,74.91,$23.54,3.18
2017-03-31,51.78,$24.31,2.13
2016-12-31,64.28,$24.42,2.63
2016-09-30,49.04,$24.73,1.98
2016-06-30,45.6,$24.20,1.88
2016-03-31,37.92,$22.81,1.66
2015-12-31,37.1,$22.69,1.64
2015-09-30,26.84,$22.36,1.2
2015-06-30,61.51,$23.31,2.64
2015-03-31,72.92,$25.08,2.91
2014-12-31,79.45,$24.08,3.3
2014-09-30,67.5,$24.60,2.74
2014-06-30,75.96,$23.72,3.2
2014-03-31,75.08,$21.48,3.5
2013-12-31,87.53,$21.30,4.11
2013-09-30,89.92,$19.59,4.59
2013-06-30,86.94,$18.38,4.73
2013-03-31,85.87,$17.32,4.96
2012-12-31,74.56,$15.77,4.73
2012-09-30,67.45,$14.53,4.64
2012-06-30,65.8,$14.14,4.65
2012-03-31,61.25,$13.90,4.41
2011-12-31,73.5,$13.27,5.54
2011-09-30,55.95,$13.40,4.17
2011-06-30,65.57,$12.53,5.23
2011-03-31,65.2,$11.93,5.46
2010-12-31,52.8,$11.74,4.5
2010-09-30,44.16,$11.07,3.99
2010-06-30,38.31,$11.07,3.46
2010-03-31,36.08,$10.78,3.35
2009-12-31,35.83,$16.08,2.23
