Thermo Fisher Scientific Price to Free Cash Flow Ratio Historical Data,Thermo Fisher Scientific Price to Free Cash Flow Ratio Historical Data,Thermo Fisher Scientific Price to Free Cash Flow Ratio Historical Data,Thermo Fisher Scientific Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,518.64,,27.12
2024-12-31,520.23,$19.12,27.2
2024-09-30,618.11,$20.29,30.46
2024-06-30,552.24,$20.86,26.47
2024-03-31,580.01,$19.73,29.4
2023-12-31,529.35,$18.08,29.28
2023-09-30,504.45,$16.99,29.69
2023-06-30,519.63,$14.97,34.71
2023-03-31,573.64,$14.36,39.96
2022-12-31,547.74,$17.60,31.12
2022-09-30,504.2,$14.23,35.43
2022-06-30,539.79,$16.06,33.6
2022-03-31,586.51,$17.70,33.14
2021-12-31,662.2,$17.15,38.61
2021-09-30,566.78,$19.93,28.44
2021-06-30,500.22,$20.45,24.47
2021-03-31,452.29,$20.25,22.34
2020-12-31,461.34,$17.10,26.98
2020-09-30,437.1,$14.29,30.59
2020-06-30,358.53,$10.66,33.63
2020-03-31,280.44,$9.27,30.24
2019-12-31,321.02,$10.13,31.68
2019-09-30,287.64,$9.89,29.09
2019-06-30,289.84,$10.24,28.31
2019-03-31,269.96,$10.67,25.31
2018-12-31,220.55,$9.45,23.35
2018-09-30,240.38,$9.78,24.58
2018-06-30,203.85,$9.20,22.17
2018-03-31,203.03,$8.03,25.29
2017-12-31,186.57,$8.80,21.19
2017-09-30,185.76,$7.34,25.32
2017-06-30,171.16,$7.16,23.92
2017-03-31,150.56,$7.27,20.71
2016-12-31,138.17,$7.15,19.32
2016-09-30,155.6,$7.51,20.72
2016-06-30,144.4,$7.29,19.8
2016-03-31,138.23,$6.92,19.98
2015-12-31,138.34,$6.31,21.92
2015-09-30,119.12,$5.31,22.44
2015-06-30,126.25,$5.17,24.41
2015-03-31,130.56,$5.53,23.61
2014-12-31,121.62,$5.57,21.83
2014-09-30,118.0,$5.26,22.42
2014-06-30,114.27,$5.04,22.69
2014-03-31,116.29,$4.13,28.15
2013-12-31,107.56,$4.78,22.5
2013-09-30,88.88,$4.53,19.62
2013-06-30,81.5,$4.43,18.39
2013-03-31,73.53,$4.51,16.32
2012-12-31,61.19,$4.74,12.91
2012-09-30,56.31,$4.67,12.06
2012-06-30,49.58,$4.33,11.45
2012-03-31,53.71,$3.92,13.7
2011-12-31,42.74,$3.74,11.44
2011-09-30,48.13,$3.17,15.18
2011-06-30,61.2,$3.33,18.41
2011-03-31,52.8,$3.08,17.16
2010-12-31,52.62,$3.08,17.06
2010-09-30,45.51,$3.31,13.77
2010-06-30,46.62,$3.19,14.62
2010-03-31,48.89,$3.46,14.14
2009-12-31,45.33,$3.48,13.01
