Village Farms Price to Free Cash Flow Ratio Historical Data,Village Farms Price to Free Cash Flow Ratio Historical Data,Village Farms Price to Free Cash Flow Ratio Historical Data,Village Farms Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.68,,283.33
2024-12-31,0.77,$0.00,0.0
2024-09-30,0.93,$-0.02,0.0
2024-06-30,1.02,$0.07,15.32
2024-03-31,1.24,$0.02,72.94
2023-12-31,0.76,$-0.01,0.0
2023-09-30,0.8,$-0.07,0.0
2023-06-30,0.6,$-0.24,0.0
2023-03-31,0.83,$-0.26,0.0
2022-12-31,1.34,$-0.38,0.0
2022-09-30,1.91,$-0.62,0.0
2022-06-30,2.61,$-0.63,0.0
2022-03-31,5.28,$-0.66,0.0
2021-12-31,6.42,$-0.75,0.0
2021-09-30,8.34,$-0.43,0.0
2021-06-30,10.7,$-0.32,0.0
2021-03-31,13.23,$-0.20,0.0
2020-12-31,10.14,$0.04,276.29
2020-09-30,4.58,$-0.08,0.0
2020-06-30,4.79,$-0.10,0.0
2020-03-31,2.86,$-0.34,0.0
