Cheetah Mobile Price to Free Cash Flow Ratio Historical Data,Cheetah Mobile Price to Free Cash Flow Ratio Historical Data,Cheetah Mobile Price to Free Cash Flow Ratio Historical Data,Cheetah Mobile Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.98,,16.15
2024-09-30,4.27,$0.31,13.85
2024-06-30,3.98,$0.31,12.91
2024-03-31,3.01,$0.31,9.76
2021-12-31,6.85,$0.31,22.22
2021-09-30,8.15,$-0.55,0.0
2021-06-30,11.85,$-0.55,0.0
2021-03-31,11.25,$-0.55,0.0
2020-12-31,9.0,$-0.55,0.0
2020-09-30,10.3,$-1.78,0.0
2020-06-30,8.6,$-1.78,0.0
2020-03-31,6.27,$-1.78,0.0
2019-12-31,10.89,$-1.78,0.0
2019-09-30,10.74,$1.49,7.22
2019-06-30,9.44,$1.49,6.35
2019-03-31,17.07,$1.49,11.48
2018-12-31,16.24,$1.49,10.92
2018-09-30,26.13,$3.25,8.04
2018-06-30,25.41,$3.25,7.81
2018-03-31,35.54,$3.25,10.93
2017-12-31,32.11,$3.25,9.87
2017-09-30,22.36,$1.68,13.31
2017-06-30,28.66,$1.68,17.07
2017-03-31,28.55,$1.68,17.0
2016-12-31,25.41,$1.68,15.14
2016-09-30,33.12,$4.72,7.02
2016-06-30,25.25,$4.72,5.36
2016-03-31,43.41,$4.72,9.21
2015-12-31,42.59,$4.72,9.03
2015-09-30,38.44,$1.86,20.68
2015-06-30,76.32,$1.86,41.06
2015-03-31,45.43,$1.86,24.44
