Hilltop Holdings Price to Free Cash Flow Ratio Historical Data,Hilltop Holdings Price to Free Cash Flow Ratio Historical Data,Hilltop Holdings Price to Free Cash Flow Ratio Historical Data,Hilltop Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,30.5,,7.23
2024-12-31,28.63,$4.22,6.79
2024-09-30,31.99,$6.37,5.02
2024-06-30,30.95,$6.19,5.0
2024-03-31,30.82,$9.49,3.25
2023-12-31,34.46,$6.75,5.11
2023-09-30,27.6,$0.47,59.34
2023-06-30,30.46,$1.71,17.85
2023-03-31,28.58,$10.21,2.8
2022-12-31,28.77,$16.77,1.72
2022-09-30,23.7,$17.83,1.33
2022-06-30,25.3,$23.62,1.07
2022-03-31,27.75,$10.61,2.62
2021-12-31,33.02,$9.43,3.5
2021-09-30,30.6,$12.80,2.39
2021-06-30,33.97,$0.32,107.02
2021-03-31,31.75,$13.13,2.42
2020-12-31,25.49,$2.96,8.62
2020-09-30,19.0,$1.23,15.51
2020-06-30,16.96,$-5.02,0.0
2020-03-31,13.81,$-14.91,0.0
2019-12-31,22.67,$-4.99,0.0
2019-09-30,21.66,$-4.70,0.0
2019-06-30,19.21,$5.60,3.43
2019-03-31,16.42,$5.18,3.17
2018-12-31,15.98,$3.66,4.37
2018-09-30,18.01,$4.57,3.94
2018-06-30,19.64,$-2.03,0.0
2018-03-31,20.81,$-4.95,0.0
2017-12-31,22.4,$-3.28,0.0
2017-09-30,22.94,$-4.09,0.0
2017-06-30,23.07,$-2.48,0.0
2017-03-31,24.12,$2.06,11.69
2016-12-31,26.11,$-1.32,0.0
2016-09-30,19.63,$-1.71,0.0
2016-06-30,18.35,$-2.36,0.0
2016-03-31,16.5,$2.30,7.19
2015-12-31,16.8,$1.15,14.56
2015-09-30,17.32,$0.28,61.19
2015-06-30,21.06,$2.33,9.05
2015-03-31,16.99,$-3.41,0.0
2014-12-31,17.44,$-0.72,0.0
2014-09-30,17.53,$-1.01,0.0
2014-06-30,18.59,$1.15,16.11
2014-03-31,20.8,$4.13,5.03
2013-12-31,20.22,$4.26,4.75
2013-09-30,16.17,$6.90,2.34
2013-06-30,14.34,$1.81,7.93
2013-03-31,11.79,$3.54,3.33
2012-12-31,11.84,$1.69,7.01
2012-09-30,11.11,$-0.23,0.0
2012-06-30,9.01,$-0.09,0.0
2012-03-31,7.33,$-0.08,0.0
2011-12-31,7.39,$-0.06,0.0
2011-09-30,6.3,$0.08,79.99
2011-06-30,7.73,$0.18,42.51
2011-03-31,8.78,$0.27,32.32
2010-12-31,8.67,$0.20,44.45
2010-09-30,8.37,$0.09,94.31
2010-06-30,8.75,$0.26,33.3
2010-03-31,10.27,$0.09,117.26
2009-12-31,10.18,$0.29,35.64
