Mosaic Price to Free Cash Flow Ratio Historical Data,Mosaic Price to Free Cash Flow Ratio Historical Data,Mosaic Price to Free Cash Flow Ratio Historical Data,Mosaic Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,28.38,,192.02
2024-12-31,24.58,$0.15,166.31
2024-09-30,26.56,$0.91,29.26
2024-06-30,28.44,$1.40,20.26
2024-03-31,31.94,$2.09,15.26
2023-12-31,34.93,$3.02,11.58
2023-09-30,34.6,$4.08,8.48
2023-06-30,33.84,$5.08,6.66
2023-03-31,44.09,$6.46,6.82
2022-12-31,41.78,$7.55,5.53
2022-09-30,45.89,$6.15,7.46
2022-06-30,44.72,$4.64,9.64
2022-03-31,62.81,$2.86,21.97
2021-12-31,37.03,$2.35,15.73
2021-09-30,33.59,$1.78,18.92
2021-06-30,29.94,$1.77,16.96
2021-03-31,29.6,$1.35,21.86
2020-12-31,21.51,$1.08,19.91
2020-09-30,17.04,$1.32,12.94
2020-06-30,11.64,$1.68,6.94
2020-03-31,10.03,$0.62,16.21
2019-12-31,20.0,$-0.45,0.0
2019-09-30,18.89,$-0.64,0.0
2019-06-30,23.0,$-0.45,0.0
2019-03-31,25.04,$0.71,35.08
2018-12-31,26.76,$1.21,22.1
2018-09-30,29.74,$2.73,10.88
2018-06-30,25.66,$2.00,12.83
2018-03-31,22.19,$0.64,34.59
2017-12-31,23.43,$1.19,19.76
2017-09-30,19.69,$0.33,59.05
2017-06-30,20.67,$0.00,0.0
2017-03-31,26.24,$0.88,29.8
2016-12-31,26.15,$1.19,22.0
2016-09-30,21.59,$1.46,14.76
2016-06-30,22.89,$1.67,13.74
2016-03-31,23.35,$1.62,14.37
2015-12-31,23.62,$2.90,8.15
2015-09-30,26.4,$2.54,10.39
2015-06-30,39.49,$3.10,12.73
2015-03-31,38.59,$3.61,10.7
2014-12-31,38.06,$3.18,11.98
2014-09-30,36.82,$2.17,16.99
2014-06-30,40.79,$0.83,48.89
2014-03-31,41.03,$1.20,34.25
2013-12-31,38.59,$-0.23,0.0
2013-09-30,34.94,$1.04,33.7
2013-06-30,43.45,$1.43,30.3
2013-05-31,49.11,$-0.81,0.0
2013-03-31,47.94,$-0.16,0.0
2013-02-28,47.08,$-0.91,0.0
2012-11-30,43.3,$-1.09,0.0
2012-09-30,45.92,$-0.10,0.0
2012-08-31,46.16,$0.04,1183.61
2012-05-31,37.84,$0.66,57.34
2012-02-29,45.73,$0.09,521.42
2011-11-30,41.74,$0.66,63.24
2011-08-31,56.22,$0.90,62.38
2011-05-31,55.96,$1.12,49.84
2011-02-28,67.76,$1.94,34.85
2010-11-30,53.35,$1.12,47.52
2010-08-31,46.24,$0.55,84.11
2010-05-31,36.36,$-0.18,0.0
2010-02-28,45.94,$-0.50,0.0
2009-11-30,42.8,$-0.18,0.0
