IBio Price to Free Cash Flow Ratio Historical Data,IBio Price to Free Cash Flow Ratio Historical Data,IBio Price to Free Cash Flow Ratio Historical Data,IBio Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.56,,0.0
2024-12-31,2.45,$-0.31,0.0
2024-09-30,2.22,$-0.88,0.0
2024-06-30,2.11,$-4.87,0.0
2024-03-31,4.06,$-15.14,0.0
2023-12-31,1.37,$-5.09,0.0
2023-09-30,6.07,$-22.09,0.0
2023-06-30,12.2,$-54.86,0.0
2023-03-31,41.6,$-77.63,0.0
2022-12-31,8.89,$-104.47,0.0
2022-09-30,85.15,$-115.92,0.0
2022-06-30,132.0,$-102.76,0.0
2022-03-31,214.1,$-99.39,0.0
2021-12-31,274.5,$-97.93,0.0
2021-09-30,530.0,$-90.39,0.0
2021-06-30,755.0,$-89.42,0.0
2021-03-31,770.0,$-112.41,0.0
2020-12-31,525.0,$-79.95,0.0
2020-09-30,1015.0,$-85.73,0.0
2020-06-30,1110.0,$-114.84,0.0
2020-03-31,530.0,$-185.07,0.0
2019-12-31,124.5,$-310.23,0.0
2019-09-30,270.0,$-416.27,0.0
2019-06-30,354.0,$-393.51,0.0
2019-03-31,436.5,$-478.88,0.0
2018-12-31,376.7,$-484.85,0.0
2018-09-30,425.0,$-537.86,0.0
2018-06-30,450.0,$-677.92,0.0
2018-03-31,1080.0,$-708.56,0.0
2017-12-31,885.5,$-811.23,0.0
2017-09-30,1600.0,$-832.29,0.0
2017-06-30,1930.0,$-812.82,0.0
2017-03-31,2150.0,$-751.43,0.0
2016-12-31,1975.0,$-678.12,0.0
2016-09-30,2750.0,$-578.44,0.0
2016-06-30,3600.0,$-502.64,0.0
2016-03-31,2832.5,$-413.27,0.0
2015-12-31,2800.0,$-358.04,0.0
2015-09-30,3400.0,$-361.20,0.0
2015-06-30,4750.0,$-331.35,0.0
2015-03-31,3840.0,$-307.45,0.0
2014-12-31,3425.0,$-310.43,0.0
2014-09-30,3074.0,$-296.35,0.0
2014-06-30,2103.0,$-327.15,0.0
2014-03-31,2690.0,$-340.57,0.0
2013-12-31,1675.0,$-381.69,0.0
2013-09-30,2175.0,$-431.79,0.0
2013-06-30,2100.0,$-491.69,0.0
2013-03-31,2700.0,$-629.99,0.0
2012-12-31,3100.0,$-732.34,0.0
2012-09-30,5150.0,$-718.66,0.0
2012-06-30,3800.0,$-760.77,0.0
2012-03-31,5600.0,$-750.17,0.0
2011-12-31,4150.0,$-812.05,0.0
2011-09-30,8000.0,$-946.13,0.0
2011-06-30,14300.0,$-862.06,0.0
2011-03-31,15350.0,$-761.94,0.0
2010-12-31,15800.0,$-704.59,0.0
2010-09-30,11100.0,$-469.84,0.0
2010-06-30,6900.0,$-430.03,0.0
2010-03-31,5000.0,$-426.75,0.0
2009-12-31,4500.0,$-579.98,0.0
