Star Group Price to Free Cash Flow Ratio Historical Data,Star Group Price to Free Cash Flow Ratio Historical Data,Star Group Price to Free Cash Flow Ratio Historical Data,Star Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.45,,5.05
2024-12-31,11.54,$2.67,4.33
2024-09-30,11.56,$2.86,4.05
2024-06-30,10.32,$2.36,4.36
2024-03-31,9.57,$3.45,2.77
2023-12-31,10.85,$4.12,2.63
2023-09-30,11.17,$3.30,3.38
2023-06-30,12.52,$4.37,2.86
2023-03-31,11.74,$2.95,3.97
2022-12-31,10.78,$-0.38,0.0
2022-09-30,7.15,$0.43,16.48
2022-06-30,7.94,$-1.02,0.0
2022-03-31,9.47,$-1.60,0.0
2021-12-31,9.07,$0.30,29.98
2021-09-30,8.47,$1.49,5.7
2021-06-30,9.2,$1.63,5.64
2021-03-31,8.58,$2.68,3.2
2020-12-31,7.52,$4.10,1.83
2020-09-30,7.69,$3.55,2.16
2020-06-30,6.82,$3.89,1.75
2020-03-31,5.88,$3.64,1.62
2019-12-31,7.13,$1.81,3.93
2019-09-30,7.04,$1.72,4.11
2019-06-30,7.34,$1.51,4.85
2019-03-31,6.96,$1.07,6.52
2018-12-31,6.69,$0.75,8.89
2018-09-30,6.99,$0.81,8.63
2018-06-30,6.93,$0.32,21.47
2018-03-31,6.53,$-0.25,0.0
2017-12-31,7.44,$0.23,32.29
2017-09-30,7.77,$0.17,45.1
2017-06-30,7.35,$0.06,119.66
2017-03-31,6.16,$-0.37,0.0
2016-12-31,7.14,$0.36,19.66
2016-09-30,6.34,$1.62,3.92
2016-06-30,5.76,$2.44,2.36
2016-03-31,5.39,$3.43,1.57
2015-12-31,4.71,$2.49,1.89
2015-09-30,5.32,$2.23,2.39
2015-06-30,5.48,$3.11,1.76
2015-03-31,4.53,$3.71,1.22
2014-12-31,3.69,$2.91,1.27
2014-09-30,3.4,$1.50,2.27
2014-06-30,3.64,$0.78,4.67
2014-03-31,3.39,$0.41,8.24
2013-12-31,3.0,$0.55,5.44
2013-09-30,2.77,$0.22,12.76
2013-06-30,2.71,$-0.24,0.0
2013-03-31,2.48,$-0.15,0.0
2012-12-31,2.19,$0.80,2.74
2012-09-30,2.27,$1.62,1.4
2012-06-30,2.16,$2.11,1.02
2012-03-31,2.09,$1.45,1.45
2011-12-31,2.42,$0.66,3.66
2011-09-30,2.4,$0.50,4.83
2011-06-30,2.58,$0.06,40.64
2011-03-31,2.71,$0.11,25.19
2010-12-31,2.49,$0.24,10.33
2010-09-30,2.19,$0.56,3.9
2010-06-30,1.98,$0.10,19.43
2010-03-31,1.94,$-0.56,0.0
2009-12-31,1.82,$-0.05,0.0
