Beachbody Price to Free Cash Flow Ratio Historical Data,Beachbody Price to Free Cash Flow Ratio Historical Data,Beachbody Price to Free Cash Flow Ratio Historical Data,Beachbody Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.75,,43.18
2024-09-30,5.72,$0.18,31.87
2024-06-30,8.43,$0.01,602.14
2024-03-31,9.6,$-0.91,0.0
2023-12-31,8.29,$-4.67,0.0
2023-09-30,0.3,$-5.46,0.0
2023-06-30,0.42,$-6.52,0.0
2023-03-31,0.48,$-6.33,0.0
2022-12-31,0.53,$-11.98,0.0
2022-09-30,1.01,$-30.12,0.0
2022-06-30,1.2,$-51.11,0.0
2022-03-31,2.27,$-56.14,0.0
2021-12-31,2.37,$-53.23,0.0
