Quantum Biopharma Price to Free Cash Flow Ratio Historical Data,Quantum Biopharma Price to Free Cash Flow Ratio Historical Data,Quantum Biopharma Price to Free Cash Flow Ratio Historical Data,Quantum Biopharma Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.75,,0.0
2024-09-30,4.0,$-7.80,0.0
2024-06-30,10.53,$-8.10,0.0
2024-03-31,46.51,$-13.07,0.0
2023-12-31,59.79,$-17.76,0.0
2023-09-30,78.69,$-26.63,0.0
2023-06-30,74.75,$-36.88,0.0
2023-03-31,100.75,$-47.32,0.0
2022-12-31,51.25,$-47.69,0.0
2022-09-30,53.63,$-46.36,0.0
2022-06-30,51.35,$-41.27,0.0
2022-03-31,56.28,$-33.60,0.0
2021-12-31,66.3,$-38.55,0.0
2021-09-30,102.7,$-59.38,0.0
2021-06-30,113.1,$-58.80,0.0
2021-03-31,124.15,$-72.61,0.0
2020-12-31,101.4,$-103.14,0.0
