Northfield Bancorp Price to Free Cash Flow Ratio Historical Data,Northfield Bancorp Price to Free Cash Flow Ratio Historical Data,Northfield Bancorp Price to Free Cash Flow Ratio Historical Data,Northfield Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.33,,13.01
2024-09-30,11.49,$0.87,13.19
2024-06-30,9.28,$0.80,11.58
2024-03-31,9.38,$0.71,13.29
2023-12-31,12.0,$1.00,12.06
2023-09-30,8.89,$1.24,7.16
2023-06-30,10.22,$1.36,7.54
2023-03-31,10.81,$1.71,6.31
2022-12-31,14.31,$1.74,8.21
2022-09-30,12.91,$1.64,7.87
2022-06-30,11.65,$1.64,7.11
2022-03-31,12.71,$1.30,9.76
2021-12-31,14.19,$1.29,10.96
2021-09-30,14.96,$1.39,10.77
2021-06-30,14.19,$1.02,13.85
2021-03-31,13.66,$1.23,11.08
2020-12-31,10.5,$1.07,9.82
2020-09-30,7.69,$0.89,8.62
2020-06-30,9.6,$1.23,7.78
2020-03-31,9.23,$1.05,8.79
2019-12-31,13.89,$1.01,13.78
2019-09-30,13.06,$0.87,15.0
2019-06-30,12.61,$0.83,15.2
2019-03-31,11.15,$0.97,11.46
2018-12-31,10.79,$1.06,10.19
2018-09-30,12.59,$1.03,12.27
2018-06-30,13.06,$1.01,12.98
2018-03-31,12.19,$0.96,12.66
2017-12-31,13.25,$0.89,14.95
2017-09-30,13.38,$1.02,13.16
2017-06-30,13.16,$0.96,13.71
2017-03-31,13.77,$0.89,15.51
2016-12-31,15.19,$0.80,18.89
2016-09-30,12.19,$0.67,18.3
2016-06-30,11.17,$0.67,16.7
2016-03-31,12.32,$0.64,19.4
2015-12-31,11.87,$0.72,16.38
2015-09-30,11.29,$0.72,15.75
2015-06-30,11.12,$0.64,17.3
2015-03-31,10.9,$0.60,18.2
2014-12-31,10.83,$0.51,21.41
2014-09-30,9.92,$0.51,19.48
2014-06-30,9.5,$0.47,20.36
2014-03-31,9.27,$0.41,22.64
2013-12-31,9.47,$0.50,19.06
2013-09-30,8.67,$0.45,19.16
2013-06-30,8.33,$0.38,21.95
2013-03-31,7.86,$0.34,22.79
2012-12-31,10.5,$0.36,29.01
2012-09-30,11.03,$0.38,28.68
2012-06-30,9.78,$0.43,22.83
2012-03-31,9.79,$0.49,20.0
2011-12-31,9.66,$0.38,25.7
2011-09-30,9.0,$0.29,31.11
2011-06-30,9.51,$0.30,32.17
2011-03-31,9.29,$0.37,24.93
2010-12-31,8.94,$0.35,25.36
2010-09-30,7.23,$0.29,24.63
2010-06-30,8.64,$0.29,29.3
2010-03-31,9.6,$0.22,43.89
2009-12-31,8.94,$0.16,54.94
