TH Price to Free Cash Flow Ratio Historical Data,TH Price to Free Cash Flow Ratio Historical Data,TH Price to Free Cash Flow Ratio Historical Data,TH Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.05,,0.0
2024-09-30,0.81,$-1.77,0.0
2024-06-30,0.75,$-1.83,0.0
2024-03-31,1.15,$-1.91,0.0
2023-12-31,1.75,$-2.24,0.0
2023-09-30,1.81,$-0.96,0.0
2023-06-30,2.87,$-1.33,0.0
2023-03-31,4.07,$-1.51,0.0
2022-09-30,5.98,$-1.20,0.0
2022-06-30,9.85,$-0.77,0.0
2022-03-31,9.83,$-0.43,0.0
2021-12-31,9.81,$-0.63,0.0
