VirnetX Holding Corp Price to Free Cash Flow Ratio Historical Data,VirnetX Holding Corp Price to Free Cash Flow Ratio Historical Data,VirnetX Holding Corp Price to Free Cash Flow Ratio Historical Data,VirnetX Holding Corp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.32,,0.0
2024-09-30,7.05,$-4.75,0.0
2024-06-30,6.8,$-4.73,0.0
2024-03-31,6.34,$-7.15,0.0
2023-12-31,7.0,$-6.94,0.0
2023-09-30,5.08,$-6.91,0.0
2023-06-30,9.3,$-6.74,0.0
2023-03-31,10.1,$-4.39,0.0
2022-12-31,10.02,$-4.74,0.0
2022-09-30,9.02,$-3.65,0.0
2022-06-30,9.02,$-3.79,0.0
2022-03-31,12.56,$-14.46,0.0
2021-12-31,20.04,$-14.54,0.0
2021-09-30,30.21,$-21.77,0.0
2021-06-30,32.91,$-28.12,0.0
2021-03-31,42.93,$-42.06,0.0
2020-12-31,38.85,$78.58,0.49
2020-09-30,40.62,$85.77,0.47
2020-06-30,50.1,$92.12,0.54
2020-03-31,35.99,$116.48,0.31
2019-12-31,25.0,$-4.40,0.0
2019-09-30,35.53,$-4.93,0.0
2019-06-30,40.86,$-5.97,0.0
2019-03-31,41.64,$-6.75,0.0
2018-12-31,15.79,$-7.08,0.0
2018-09-30,30.59,$-6.77,0.0
2018-06-30,22.37,$-5.63,0.0
2018-03-31,25.99,$-4.77,0.0
2017-12-31,24.34,$-5.12,0.0
2017-09-30,25.66,$-6.32,0.0
2017-06-30,29.93,$-5.98,0.0
2017-03-31,15.13,$-7.12,0.0
2016-12-31,14.47,$-7.84,0.0
2016-09-30,20.13,$-7.22,0.0
2016-06-30,26.32,$-9.95,0.0
2016-03-31,30.2,$-10.21,0.0
2015-12-31,16.91,$-10.07,0.0
2015-09-30,23.42,$-1.88,0.0
2015-06-30,27.63,$0.70,39.33
2015-03-31,40.07,$1.23,32.5
2014-12-31,36.12,$0.75,48.2
2014-09-30,39.47,$-7.80,0.0
2014-06-30,115.86,$-8.05,0.0
2014-03-31,93.29,$-3.08,0.0
2013-12-31,127.7,$-2.85,0.0
2013-09-30,134.21,$-3.53,0.0
2013-06-30,131.51,$-7.09,0.0
2013-03-31,126.12,$-9.02,0.0
2012-12-31,192.63,$-7.71,0.0
2012-09-30,167.3,$-6.08,0.0
2012-06-30,231.91,$-2.30,0.0
2012-03-31,157.43,$-4.10,0.0
2011-12-31,164.28,$-7.32,0.0
2011-09-30,98.62,$-7.89,0.0
2011-06-30,190.4,$-20.51,0.0
2011-03-31,130.99,$29.08,4.5
2010-12-31,97.7,$30.92,3.16
2010-09-30,96.58,$31.70,3.05
2010-06-30,38.95,$43.97,0.89
2010-03-31,29.13,$-5.44,0.0
2009-12-31,17.84,$-3.67,0.0
