U.S Energy Price to Free Cash Flow Ratio Historical Data,U.S Energy Price to Free Cash Flow Ratio Historical Data,U.S Energy Price to Free Cash Flow Ratio Historical Data,U.S Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.41,,3.64
2024-12-31,1.63,$0.39,4.21
2024-09-30,1.15,$0.47,2.44
2024-06-30,1.02,$0.29,3.53
2024-03-31,1.08,$0.34,3.16
2023-12-31,1.0,$0.33,3.05
2023-09-30,1.35,$0.09,15.29
2023-06-30,1.42,$-0.26,0.0
2023-03-31,1.73,$-0.24,0.0
2022-12-31,2.24,$-0.25,0.0
2022-09-30,2.82,$-0.41,0.0
2022-06-30,3.32,$-0.00,0.0
2022-03-31,4.16,$-0.11,0.0
2021-12-31,3.12,$-0.28,0.0
2021-09-30,4.38,$-0.93,0.0
2021-06-30,4.53,$-1.12,0.0
2021-03-31,4.18,$-1.25,0.0
2020-12-31,3.52,$-1.16,0.0
2020-09-30,4.78,$-0.31,0.0
2020-06-30,4.95,$0.19,25.79
2020-03-31,2.96,$0.17,17.14
2019-12-31,2.89,$0.25,11.48
2019-09-30,4.87,$-0.42,0.0
2019-06-30,4.39,$-1.02,0.0
2019-03-31,7.45,$-0.26,0.0
2018-12-31,6.4,$-1.40,0.0
2018-09-30,9.75,$1.71,5.69
2018-06-30,12.61,$1.50,8.43
2018-03-31,11.73,$0.78,15.1
2017-12-31,14.33,$1.37,10.45
2017-09-30,7.36,$-1.21,0.0
2017-06-30,6.5,$-0.92,0.0
2017-03-31,8.51,$-1.61,0.0
2016-12-31,12.23,$-3.35,0.0
2016-09-30,16.72,$-4.93,0.0
2016-06-30,16.24,$-1.81,0.0
2016-03-31,20.06,$-2.56,0.0
2015-12-31,9.32,$1.39,6.72
2015-09-30,28.09,$13.11,2.14
2015-06-30,30.32,$10.30,2.94
2015-03-31,64.78,$22.19,2.92
2014-12-31,84.84,$9.31,9.12
2014-09-30,182.87,$-29.08,0.0
2014-06-30,248.22,$0.71,350.49
2014-03-31,272.87,$-6.49,0.0
2013-12-31,215.54,$4.27,50.43
2013-09-30,120.96,$27.99,4.32
2013-06-30,118.66,$-9.70,0.0
2013-03-31,95.16,$-32.39,0.0
2012-12-31,85.99,$-16.87,0.0
2012-09-30,123.25,$1.04,118.07
2012-06-30,135.29,$-18.96,0.0
2012-03-31,181.15,$-33.52,0.0
2011-12-31,166.82,$-75.41,0.0
2011-09-30,132.42,$-128.31,0.0
2011-06-30,244.78,$-101.42,0.0
2011-03-31,358.85,$-80.46,0.0
2010-12-31,348.53,$-78.77,0.0
2010-09-30,260.25,$-67.35,0.0
2010-06-30,272.29,$-75.13,0.0
2010-03-31,341.66,$-64.83,0.0
2009-12-31,339.94,$-46.61,0.0
