EHealth Price to Free Cash Flow Ratio Historical Data,EHealth Price to Free Cash Flow Ratio Historical Data,EHealth Price to Free Cash Flow Ratio Historical Data,EHealth Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.4,,0.0
2024-12-31,9.4,$-1.06,0.0
2024-09-30,4.08,$-1.27,0.0
2024-06-30,4.53,$-1.17,0.0
2024-03-31,6.03,$-0.38,0.0
2023-12-31,8.72,$-0.62,0.0
2023-09-30,7.4,$-0.14,0.0
2023-06-30,8.04,$-0.33,0.0
2023-03-31,9.36,$-1.00,0.0
2022-12-31,4.84,$-1.55,0.0
2022-09-30,3.91,$-4.77,0.0
2022-06-30,9.33,$-6.41,0.0
2022-03-31,12.41,$-6.70,0.0
2021-12-31,25.5,$-6.85,0.0
2021-09-30,40.5,$-6.61,0.0
2021-06-30,58.4,$-3.91,0.0
2021-03-31,72.73,$-3.57,0.0
2020-12-31,70.61,$-4.87,0.0
2020-09-30,79.0,$-3.58,0.0
2020-06-30,98.24,$-4.28,0.0
2020-03-31,140.82,$-3.94,0.0
2019-12-31,96.08,$-3.60,0.0
2019-09-30,66.79,$-1.70,0.0
2019-06-30,86.1,$-1.29,0.0
2019-03-31,62.34,$-0.75,0.0
2018-12-31,38.42,$-0.69,0.0
2018-09-30,28.26,$-0.70,0.0
2018-06-30,22.1,$-0.99,0.0
2018-03-31,14.31,$-0.94,0.0
2017-12-31,17.37,$-1.08,0.0
2017-09-30,23.89,$-0.79,0.0
2017-06-30,18.8,$0.00,0.0
2017-03-31,12.04,$0.15,81.02
2016-12-31,10.65,$0.02,546.15
2016-09-30,11.21,$0.34,32.5
2016-06-30,14.02,$0.86,16.33
2016-03-31,9.39,$1.48,6.36
2015-12-31,9.98,$0.59,16.8
2015-09-30,12.81,$0.32,40.13
2015-06-30,12.69,$0.28,44.79
2015-03-31,9.38,$-0.40,0.0
2014-12-31,24.92,$-0.10,0.0
2014-09-30,24.13,$0.40,59.95
2014-06-30,37.97,$0.19,196.43
2014-03-31,50.8,$0.44,115.93
2013-12-31,46.49,$0.69,67.74
2013-09-30,32.26,$0.64,50.54
2013-06-30,22.72,$0.61,36.99
2013-03-31,17.88,$0.68,26.43
2012-12-31,27.48,$1.01,27.11
2012-09-30,18.77,$0.87,21.68
2012-06-30,16.11,$0.84,19.17
2012-03-31,16.31,$0.88,18.48
2011-12-31,14.7,$0.93,15.85
2011-09-30,13.66,$1.00,13.71
2011-06-30,13.36,$0.93,14.35
2011-03-31,13.29,$0.91,14.57
2010-12-31,14.19,$0.74,19.29
2010-09-30,12.91,$0.96,13.49
2010-06-30,11.37,$1.06,10.74
2010-03-31,15.75,$1.07,14.71
2009-12-31,16.43,$1.14,14.45
